rec,card,map,tags,target,k,theta_deg,reliable,has_window,outcome_ungated,answer_ungated,outcome_gated,answer_gated
2026_08_20/002,c4,v9,beyond_occ,球L,11,0.84,0,1,correct,球L,correct,球L
2026_08_20/002,c4,v9,beyond_occ,球M,12,0.66,0,1,correct,球M,none,
2026_08_20/002,c4,v9,beyond_occ,球R,13,0.84,0,1,correct,球R,none,
2026_08_20/002,c4,v9,beyond_occ,球M,14,0.66,0,0,unknown,,unknown,
2026_08_20/002,c4,v9,beyond_occ,球R,15,0.84,0,1,correct,球R,none,
2026_08_20/003,c4,v9,beyond_occ,球L,1,0.64,0,1,correct,球L,correct,球L
2026_08_20/003,c4,v9,beyond_occ,球R,2,0.63,0,0,unknown,,unknown,
2026_08_20/003,c4,v9,beyond_occ,球R,3,0.63,0,0,unknown,,unknown,
2026_08_20/003,c4,v9,beyond_occ,球M,4,0.63,0,0,unknown,,unknown,
2026_08_20/003,c4,v9,beyond_occ,球M,5,0.63,0,0,unknown,,unknown,
2026_08_20/003,c4,v9,beyond_occ,球L,6,0.64,0,1,correct,球L,correct,球L
2026_08_20/003,c4,v9,beyond_occ,球R,7,0.63,0,0,unknown,,unknown,
2026_08_20/003,c4,v9,beyond_occ,球L,8,0.64,0,1,correct,球L,none,
2026_08_20/003,c4,v9,beyond_occ,球L,9,0.64,0,1,correct,球L,none,
2026_08_20/003,c4,v9,beyond_occ,球M,10,0.63,0,0,unknown,,unknown,
2026_08_20/003,c4,v9,beyond_occ,球L,11,0.64,0,1,correct,球L,none,
2026_08_20/003,c4,v9,beyond_occ,球M,12,0.63,0,0,unknown,,unknown,
2026_08_20/003,c4,v9,beyond_occ,球R,13,0.63,0,1,correct,球R,none,
2026_08_20/003,c4,v9,beyond_occ,球M,14,0.63,0,0,unknown,,unknown,
2026_08_20/003,c4,v9,beyond_occ,球R,15,0.63,0,1,correct,球R,none,
2026_08_25/c1_1,c4,v9,beyond_occ,球L,1,0.92,0,1,correct,球L,none,
2026_08_25/c1_1,c4,v9,beyond_occ,球R,2,0.9,0,0,unknown,,unknown,
2026_08_25/c1_1,c4,v9,beyond_occ,球R,3,0.9,0,0,unknown,,unknown,
2026_08_25/c1_1,c4,v9,beyond_occ,球M,4,0.68,0,0,unknown,,unknown,
2026_08_25/c1_1,c4,v9,beyond_occ,球M,5,0.68,0,0,unknown,,unknown,
2026_08_25/c1_1,c4,v9,beyond_occ,球L,6,0.92,0,1,correct,球L,none,
2026_08_25/c1_1,c4,v9,beyond_occ,球R,7,0.9,0,0,unknown,,unknown,
2026_08_25/c1_1,c4,v9,beyond_occ,球L,8,0.92,0,1,correct,球L,none,
2026_08_25/c1_1,c4,v9,beyond_occ,球L,9,0.92,0,1,correct,球L,none,
2026_08_25/c1_1,c4,v9,beyond_occ,球M,10,0.68,0,1,correct,球M,none,
2026_08_25/c1_1,c4,v9,beyond_occ,球L,11,0.92,0,1,correct,球L,correct,球L
2026_08_25/c1_1,c4,v9,beyond_occ,球M,12,0.68,0,1,correct,球M,none,
2026_08_25/c1_1,c4,v9,beyond_occ,球R,13,0.9,0,0,unknown,,unknown,
2026_08_25/c1_1,c4,v9,beyond_occ,球M,14,0.68,0,1,correct,球M,none,
2026_08_25/c1_1,c4,v9,beyond_occ,球R,15,0.9,0,0,unknown,,unknown,
2026_08_25/c1_2,c4,v9,,球L,1,1.04,1,1,correct,球L,none,
2026_08_25/c1_2,c4,v9,,球R,2,0.81,1,1,correct,球R,none,
2026_08_25/c1_2,c4,v9,,球R,3,0.81,1,1,correct,球R,correct,球R
2026_08_25/c1_2,c4,v9,,球M,4,0.65,1,1,correct,球M,correct,球M
2026_08_25/c1_2,c4,v9,,球M,5,0.65,1,1,correct,球M,none,
2026_08_25/c1_2,c4,v9,,球L,6,1.04,1,1,correct,球L,correct,球L
2026_08_25/c1_2,c4,v9,,球R,7,0.81,1,1,correct,球R,none,
2026_08_25/c1_2,c4,v9,,球L,8,1.04,1,1,correct,球L,none,
2026_08_25/c1_2,c4,v9,,球L,9,1.04,1,1,correct,球L,none,
2026_08_25/c1_2,c4,v9,,球M,10,0.65,1,1,correct,球M,none,
2026_08_25/c1_2,c4,v9,,球L,11,1.04,1,1,correct,球L,correct,球L
2026_08_25/c1_2,c4,v9,,球M,12,0.65,1,1,correct,球M,none,
2026_08_25/c1_2,c4,v9,,球R,13,0.81,1,1,correct,球R,correct,球R
2026_08_25/c1_2,c4,v9,,球M,14,0.65,1,1,correct,球M,correct,球M
2026_08_25/c1_2,c4,v9,,球R,15,0.81,1,1,correct,球R,correct,球R
2026_08_25/c1_3,c4,v9,,球L,1,1.19,0,1,correct,球L,correct,球L
2026_08_25/c1_3,c4,v9,,球R,2,0.96,0,0,unknown,,unknown,
2026_08_25/c1_3,c4,v9,,球R,3,0.96,0,0,unknown,,unknown,
2026_08_25/c1_3,c4,v9,,球M,4,0.77,0,1,correct,球M,correct,球M
2026_08_25/c1_3,c4,v9,,球M,5,0.77,0,1,correct,球M,correct,球M
2026_08_25/c1_3,c4,v9,,球L,6,1.19,0,1,correct,球L,none,
2026_08_25/c1_3,c4,v9,,球R,7,0.96,0,0,unknown,,unknown,
2026_08_25/c1_3,c4,v9,,球L,8,1.19,0,0,unknown,,unknown,
2026_08_25/c1_3,c4,v9,,球L,9,1.19,0,0,unknown,,unknown,
2026_08_25/c1_3,c4,v9,,球M,10,0.77,0,1,correct,球M,correct,球M
2026_08_25/c1_3,c4,v9,,球L,11,1.19,0,1,correct,球L,correct,球L
2026_08_25/c1_3,c4,v9,,球M,12,0.77,0,0,unknown,,unknown,
2026_08_25/c1_3,c4,v9,,球R,13,0.96,0,1,correct,球R,correct,球R
2026_08_25/c1_3,c4,v9,,球M,14,0.77,0,1,correct,球M,none,
2026_08_25/c1_3,c4,v9,,球R,15,0.96,0,1,correct,球R,none,
2026_08_25/u3,u3,v9,walking,球L,1,1.36,1,1,correct,球L,correct,球L
2026_08_25/u3,u3,v9,walking,球M,2,1.44,1,1,correct,球M,wrong,球L
2026_08_25/u3,u3,v9,walking,球R,3,1.75,1,1,correct,球R,none,
2026_08_25/u3,u3,v9,walking,球M,4,1.44,1,1,correct,球M,none,
2026_08_25/u3,u3,v9,walking,球R,5,1.75,1,1,correct,球R,none,
2026_08_25/u3,u3,v9,walking,球L,6,1.36,1,1,correct,球L,correct,球L
2026_08_25/u3,u3,v9,walking,球M,7,1.44,1,1,correct,球M,correct,球M
2026_08_25/u3,u3,v9,walking,球R,8,1.75,1,1,correct,球R,correct,球R
2026_08_25/u3,u3,v9,walking,球L,9,1.36,1,1,correct,球L,correct,球L
2026_08_25/u3,u3,v9,walking,球R,10,1.75,1,1,correct,球R,correct,球R
2026_08_25/u3,u3,v9,walking,球L,11,1.36,1,1,correct,球L,correct,球L
2026_08_25/u3,u3,v9,walking,球M,12,1.44,1,1,correct,球M,correct,球M
2026_08_25/u3,u3,v9,walking,球R,13,1.75,1,1,wrong,球M,wrong,球M
2026_08_25/u3,u3,v9,walking,球L,14,1.36,1,1,correct,球L,correct,球L
2026_08_25/u3,u3,v9,walking,球M,15,1.44,1,1,correct,球M,correct,球M
