rec,card,era,flags,cfg,k,target,size,theta_unit,tier,occl,walking,stress,window_src,reliable,lcs,has_window,win_start_rel,win_end_rel,n_finals,n_obj_finals,n_acc,n_acc_e2,outcome_first,first_obj,first_lat_end,first_lat_start,first_lat_stare,first_share,first_capture,first_A,first_p_none,first_dur,outcome_any,any_correct,any_wrong,flip_wrong_then_correct,flip_correct_then_wrong,wrong_objs,first_e2,ungated_first,ungated_majority,ungated_majority_obj,ungated_majority_dur,gated_majority,gated_majority_obj,gated_majority_dur,best_target_capture,best_wrong_capture,best_target_share,best_wrong_share,dist_m
2026_08_16/s2,s2,v7,,selfcal,1,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,18.18,23.88,1,1,1,1,correct,球M,5.74,2.11,3.34,1.0,1.246,0.0,0.764,3.63,correct_only,1,0,0,0,,correct,correct,correct,球M,3.63,correct,球M,3.63,1.246,,1.0,,2.35
2026_08_16/s2,s2,v7,,selfcal,2,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,25.04,30.76,2,2,2,2,correct,球R,2.98,-0.81,0.56,0.858,0.838,0.138,0.866,3.79,correct_only,1,0,0,0,,correct,correct,correct,球R,6.23,correct,球R,6.23,0.838,,0.862,,2.48
2026_08_16/s2,s2,v7,,selfcal,3,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,31.92,37.72,5,5,5,5,correct,球M,1.51,0.7,-0.99,1.0,1.703,0.0,0.721,0.81,correct_only,1,0,0,0,,correct,correct,correct,球M,4.28,correct,球M,4.28,1.703,,1.0,,2.45
2026_08_16/s2,s2,v7,,selfcal,4,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,38.88,44.65,3,3,3,3,correct,球R,3.41,-0.93,0.94,0.775,1.26,0.21,0.807,4.33,correct_only,1,0,0,0,,correct,correct,correct,球R,6.23,correct,球R,6.23,1.346,,0.795,,2.49
2026_08_16/s2,s2,v7,,selfcal,5,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,hit,1,45.81,51.53,3,3,3,2,correct,球L,3.44,-0.89,1.02,0.497,0.735,0.331,0.695,4.33,mixed,1,1,1,1,香蕉,wrong,correct,correct,球L,5.8,correct,球L,5.8,0.735,0.239,0.507,0.683,2.43
2026_08_16/s2,s2,v7,,selfcal,6,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,52.69,58.39,2,2,2,2,correct,球R,4.39,-0.81,1.99,0.76,1.067,0.264,0.808,5.2,correct_only,1,0,0,0,,correct,correct,correct,球R,6.01,correct,球R,6.01,1.067,,0.76,,2.46
2026_08_16/s2,s2,v7,,selfcal,7,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,59.55,65.33,4,4,3,3,correct,球M,2.25,1.28,-0.23,0.995,1.6,0.001,0.696,0.97,correct_only,1,0,0,0,,correct,correct,correct,球M,2.87,correct,球M,2.87,1.6,0.585,1.0,0.337,2.45
2026_08_16/s2,s2,v7,,selfcal,8,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,hit,1,66.69,72.44,1,1,1,1,correct,球L,5.46,-0.39,3.01,0.53,0.831,0.336,0.703,5.85,correct_only,1,0,0,0,,correct,correct,correct,球L,5.85,correct,球L,5.85,0.831,,0.53,,2.47
2026_08_16/s2,s2,v7,,selfcal,9,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,73.6,79.28,1,1,1,1,correct,球R,5.49,2.89,3.11,0.842,1.059,0.136,0.851,2.6,correct_only,1,0,0,0,,correct,correct,correct,球R,2.6,correct,球R,2.6,1.059,,0.842,,2.55
2026_08_16/s2,s2,v7,,selfcal,10,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,80.44,86.23,3,3,3,3,correct,球R,2.77,-0.37,0.28,0.699,1.31,0.312,0.777,3.14,correct_only,1,0,0,0,,correct,correct,correct,球R,5.15,correct,球R,5.15,1.31,,0.762,,2.52
