rec,card,era,flags,cfg,k,target,size,theta_unit,tier,occl,walking,stress,window_src,reliable,lcs,has_window,win_start_rel,win_end_rel,n_finals,n_obj_finals,n_acc,n_acc_e2,outcome_first,first_obj,first_lat_end,first_lat_start,first_lat_stare,first_share,first_capture,first_A,first_p_none,first_dur,outcome_any,any_correct,any_wrong,flip_wrong_then_correct,flip_correct_then_wrong,wrong_objs,first_e2,ungated_first,ungated_majority,ungated_majority_obj,ungated_majority_dur,gated_majority,gated_majority_obj,gated_majority_dur,best_target_capture,best_wrong_capture,best_target_share,best_wrong_share,dist_m
2026_08_16/s2,s2,v7,,v1_votescope_all,6,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,miss,1,52.69,58.39,2,2,0,0,none,,,,,,,,,,none,0,0,0,0,,none,wrong,wrong,object#318,6.01,none,,,,0.0,,0.336,2.46
2026_08_16/s2,s2,v7,,v1_votescope_all,7,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,59.55,65.33,4,4,1,0,wrong,object#17,5.61,4.31,3.13,0.35,,,0.088,1.3,wrong_only,0,1,0,0,object#17,none,correct,wrong,object#17,1.9,wrong,object#17,1.3,0.0,0.0,0.312,0.35,2.45
2026_08_16/s2,s2,v7,,v1_votescope_all,8,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,miss,1,66.69,72.44,1,1,1,0,wrong,object#316,5.46,-0.39,3.01,0.414,,,0.159,5.85,wrong_only,0,1,0,0,object#316,none,wrong,wrong,object#316,5.85,wrong,object#316,5.85,,0.0,,0.414,2.47
2026_08_16/s2,s2,v7,,v1_votescope_all,9,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,miss,1,73.6,79.28,1,1,1,0,wrong,object#318,5.49,2.89,3.11,0.421,,,0.418,2.6,wrong_only,0,1,0,0,object#318,none,wrong,wrong,object#318,2.6,wrong,object#318,2.6,,0.0,,0.421,2.55
2026_08_16/s2,s2,v7,,v1_votescope_all,10,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,miss,1,80.44,86.23,3,3,1,0,wrong,object#318,3.63,2.98,1.14,0.373,,,0.551,0.65,wrong_only,0,1,0,0,object#318,none,wrong,wrong,object#318,5.15,wrong,object#318,0.65,,0.0,,0.373,2.52
2026_08_16/s2,s2,v7,,v1_votescope_all,11,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,87.39,93.38,5,5,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,球M,3.03,none,,,0.0,0.0,0.319,0.233,2.39
2026_08_16/s2,s2,v7,,v1_votescope_all,12,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,miss,1,94.54,100.51,3,3,3,0,wrong,object#316,3.72,-0.84,1.05,0.453,,,0.142,4.56,wrong_only,0,1,0,0,object#316,none,wrong,wrong,object#316,5.97,wrong,object#316,5.97,,0.0,,0.454,2.47
2026_08_16/s2,s2,v7,,v1_votescope_all,13,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,101.67,107.63,3,3,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,球M,2.17,none,,,0.0,0.0,0.318,0.2,2.4
2026_08_16/s2,s2,v7,,v1_votescope_all,14,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,miss,1,108.79,114.8,3,3,2,0,wrong,object#316,4.47,0.78,1.76,0.42,,,0.109,3.68,wrong_only,0,1,0,0,object#316,none,wrong,wrong,object#316,4.55,wrong,object#316,4.55,,0.0,,0.437,2.47
2026_08_16/s2,s2,v7,,v1_votescope_all,15,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,miss,1,115.96,121.97,3,3,2,0,wrong,object#316,2.75,1.51,0.04,0.411,,,0.149,1.25,wrong_only,0,1,0,0,object#316,none,wrong,wrong,object#316,2.55,wrong,object#316,2.55,,0.0,,0.443,2.46
2026_08_16/s3,s3,v7,,v1_votescope_all,1,球M,ball(3cm),3.19,≥2.5°,clear,0,0,schedule,1,hit,1,18.24,23.94,4,4,0,0,none,,,,,,,,,,none,0,0,0,0,,none,wrong,wrong,object#179,2.55,none,,,,0.0,,0.296,3.45
2026_08_16/s3,s3,v7,,v1_votescope_all,2,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,miss,1,25.1,30.88,2,2,1,0,wrong,object#10,5.13,2.96,2.65,0.359,,,0.237,2.17,wrong_only,0,1,0,0,object#10,none,wrong,wrong,object#10,5.69,wrong,object#10,2.17,,0.0,,0.368,3.35
2026_08_16/s3,s3,v7,,v1_votescope_all,3,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,miss,1,32.04,37.86,2,2,1,0,wrong,object#10,5.14,1.13,2.62,0.486,,,0.385,4.01,wrong_only,0,1,0,0,object#10,none,wrong,wrong,object#10,4.55,wrong,object#10,4.01,,0.0,,0.486,3.35
2026_08_16/s3,s3,v7,,v1_votescope_all,4,球M,ball(3cm),3.19,≥2.5°,clear,0,0,schedule,1,hit,1,39.02,44.84,4,4,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,球M,1.41,none,,,0.0,0.0,0.195,0.156,3.91
