rec,k,target,tier,occl,flags,theta_unit,dist_m,reliable,vis_first,vis_obj,vis_cap,vis_share,vis_A,vis_any,vis_lcs,noocc_first,noocc_obj,noocc_cap,noocc_share,noocc_A,noocc_any,noocc_lcs,vis_best_target_cap,noocc_best_target_cap,vis_best_wrong_cap,noocc_best_wrong_cap
2026_08_16/s3,8,球L,1.0–2.5°,clear,,2.0,3.35,1,correct,球L,0.583,1.0,0.0,correct_only,hit,correct,球L,0.585,1.0,0.0,correct_only,hit,0.583,0.585,,
2026_08_16/s3,9,球M,≥2.5°,clear,,3.19,3.4,1,correct,球M,1.298,0.981,0.006,correct_only,hit,correct,球M,1.298,0.978,0.007,correct_only,hit,1.375,1.375,,
2026_08_16/s3,10,球R,1.0–2.5°,clear,,1.53,3.4,1,wrong,球M,0.256,1.0,0.0,mixed,hit,wrong,球M,0.256,1.0,0.0,mixed,hit,1.138,1.138,0.418,0.418
2026_08_16/s3,11,球L,1.0–2.5°,clear,,2.0,3.35,1,correct,球L,0.986,0.915,0.027,correct_only,hit,correct,球L,0.986,0.91,0.027,correct_only,hit,0.986,0.986,,
2026_08_16/s3,12,球M,≥2.5°,clear,,3.19,4.0,1,correct,球M,0.761,1.0,0.0,correct_only,hit,correct,球M,0.761,1.0,0.0,correct_only,hit,0.761,0.761,,
2026_08_16/s3,13,球R,1.0–2.5°,clear,,1.53,3.38,1,correct,球R,0.299,1.0,0.0,correct_only,hit,correct,球R,0.299,1.0,0.0,correct_only,hit,0.299,0.299,,
2026_08_16/s3,14,球M,≥2.5°,clear,,3.19,3.39,1,correct,球M,0.266,1.0,0.0,mixed,hit,correct,球M,0.266,1.0,0.0,mixed,hit,1.225,1.225,0.496,0.5
2026_08_16/s3,15,球R,1.0–2.5°,clear,,1.53,3.38,1,correct,球R,0.86,0.945,0.042,correct_only,hit,correct,球R,0.86,0.931,0.055,correct_only,hit,0.86,0.86,,
2026_08_16/s4,1,球L,1.0–2.5°,clear,,1.67,3.81,1,none,,,,,none,hit,none,,,,,none,hit,0.083,0.083,,
2026_08_16/s4,2,球L,1.0–2.5°,clear,,1.67,3.83,1,none,,,,,none,hit,none,,,,,none,hit,0.077,0.077,,
2026_08_16/s4,3,球M,≥2.5°,clear,,2.82,3.8,1,wrong,球L,0.805,0.928,0.026,mixed,miss,wrong,球L,0.805,0.882,0.042,mixed,miss,0.556,0.556,0.805,0.805
2026_08_16/s4,4,球R,1.0–2.5°,clear,,1.28,3.85,1,none,,,,,none,hit,none,,,,,none,hit,0.046,0.047,0.018,0.018
2026_08_16/s4,5,球R,1.0–2.5°,clear,,1.28,3.84,1,none,,,,,none,hit,none,,,,,none,hit,0.022,0.022,,
2026_08_16/s4,6,球M,≥2.5°,clear,,2.82,3.87,1,wrong,球R,0.46,0.968,0.035,mixed,hit,wrong,球R,0.465,0.91,0.108,mixed,hit,0.596,0.596,0.46,0.465
2026_08_16/s4,7,球M,≥2.5°,clear,,2.82,3.9,1,correct,球M,0.894,0.992,0.003,correct_only,hit,correct,球M,0.894,0.987,0.004,correct_only,hit,1.001,1.001,,
2026_08_16/s4,8,球L,1.0–2.5°,clear,,1.67,3.79,1,wrong,球M,1.066,1.0,0.0,mixed,hit,wrong,球M,1.066,1.0,0.0,mixed,hit,1.069,1.069,1.066,1.066
2026_08_16/s4,9,球R,1.0–2.5°,clear,,1.28,3.79,1,wrong,球L,0.337,0.974,0.009,mixed,hit,wrong,球L,0.337,0.933,0.024,mixed,hit,0.583,0.586,0.337,0.337
2026_08_16/s4,10,球M,≥2.5°,clear,,2.82,3.8,1,wrong,球R,0.895,0.945,0.058,wrong_only,miss,wrong,球R,0.9,0.886,0.129,wrong_only,miss,,,0.895,0.9
2026_08_16/s4,11,球R,1.0–2.5°,clear,,1.28,3.8,1,wrong,球M,0.813,0.775,0.09,mixed,hit,wrong,球M,0.813,0.739,0.111,mixed,hit,0.295,0.298,0.813,0.813
2026_08_16/s4,12,球R,1.0–2.5°,clear,,1.28,3.91,1,correct,球R,0.305,0.999,0.0,correct_only,hit,correct,球R,0.311,0.998,0.0,correct_only,hit,0.305,0.311,,
2026_08_16/s4,13,球M,≥2.5°,clear,,2.82,3.81,1,correct,球M,1.031,1.0,0.0,correct_only,hit,correct,球M,1.031,1.0,0.0,correct_only,hit,1.031,1.031,,
2026_08_16/s4,14,球L,1.0–2.5°,clear,,1.67,3.77,1,correct,球L,0.723,0.94,0.024,correct_only,hit,correct,球L,0.723,0.893,0.043,correct_only,hit,0.723,0.723,,
2026_08_16/s4,15,球L,1.0–2.5°,clear,,1.67,3.77,1,correct,球L,0.442,0.825,0.072,correct_only,hit,correct,球L,0.442,0.757,0.111,correct_only,hit,0.836,0.836,,
