rec,k,target,tier,occl,flags,theta_unit,dist_m,reliable,v2s15_first,v2s15_obj,v2s15_cap,v2s15_share,v2s15_A,v2s15_any,v2s15_lcs,mass15_first,mass15_obj,mass15_cap,mass15_share,mass15_A,mass15_any,mass15_lcs,v2s15_best_target_cap,mass15_best_target_cap,v2s15_best_wrong_cap,mass15_best_wrong_cap
2026_08_16/s2,3,球M,≥2.5°,clear,,4.47,2.45,1,correct,球M,1.703,1.0,0.0,correct_only,hit,correct,球M,1.703,1.0,0.0,correct_only,hit,1.703,1.703,,
2026_08_16/s2,4,球R,≥2.5°,clear,,2.55,2.49,1,correct,球R,1.26,0.775,0.21,correct_only,hit,correct,球R,1.26,0.775,0.21,correct_only,hit,1.346,1.346,,
2026_08_16/s2,5,球L,≥2.5°,clear,,2.85,2.43,1,correct,球L,0.735,0.497,0.331,mixed,hit,correct,球L,0.735,0.497,0.211,mixed,hit,0.735,0.735,0.239,0.239
2026_08_16/s2,6,球R,≥2.5°,clear,,2.55,2.46,1,correct,球R,1.067,0.76,0.264,correct_only,hit,correct,球R,1.067,0.76,0.264,correct_only,hit,1.067,1.067,,
2026_08_16/s2,7,球M,≥2.5°,clear,,4.47,2.45,1,correct,球M,1.6,0.995,0.001,correct_only,hit,correct,球M,1.6,0.995,0.001,mixed,hit,1.6,1.6,0.585,0.343
2026_08_16/s2,8,球L,≥2.5°,clear,,2.85,2.47,1,correct,球L,0.831,0.53,0.336,correct_only,hit,correct,球L,0.831,0.53,0.159,correct_only,hit,0.831,0.831,,
2026_08_16/s2,9,球R,≥2.5°,clear,,2.55,2.55,1,correct,球R,1.059,0.842,0.136,correct_only,hit,correct,球R,1.059,0.842,0.136,correct_only,hit,1.059,1.059,,
2026_08_16/s2,10,球R,≥2.5°,clear,,2.55,2.52,1,correct,球R,1.31,0.699,0.312,correct_only,hit,correct,球R,1.31,0.699,0.312,correct_only,hit,1.31,1.31,,
2026_08_16/s2,11,球M,≥2.5°,clear,,4.47,2.39,1,correct,球M,1.667,0.988,0.003,correct_only,hit,correct,球M,1.667,0.988,0.003,correct_only,hit,1.877,1.877,,
2026_08_16/s2,12,球L,≥2.5°,clear,,2.85,2.47,1,correct,球L,0.748,0.618,0.151,correct_only,hit,correct,球L,0.748,0.618,0.151,correct_only,hit,0.781,0.781,,
2026_08_16/s2,13,球M,≥2.5°,clear,,4.47,2.4,1,correct,球M,1.468,1.0,0.0,correct_only,hit,correct,球M,1.468,1.0,0.0,correct_only,hit,1.809,1.809,,
2026_08_16/s2,14,球L,≥2.5°,clear,,2.85,2.47,1,correct,球L,0.728,0.447,0.359,correct_only,hit,wrong,香蕉,0.238,0.67,1.076,mixed,hit,0.77,0.77,0.256,0.238
2026_08_16/s2,15,球L,≥2.5°,clear,,2.85,2.46,1,correct,球L,0.873,0.5,0.364,mixed,hit,correct,球L,0.873,0.5,0.183,mixed,hit,0.873,0.873,0.594,0.594
2026_08_16/s3,1,球M,≥2.5°,clear,,3.19,3.45,1,correct,球M,0.318,1.0,0.0,correct_only,hit,correct,球M,0.318,1.0,0.0,correct_only,hit,0.651,0.651,,
2026_08_16/s3,2,球L,1.0–2.5°,clear,,2.0,3.35,1,correct,球L,0.388,0.627,0.137,correct_only,hit,correct,球L,0.388,0.627,0.137,correct_only,hit,0.388,0.388,,
2026_08_16/s3,3,球L,1.0–2.5°,clear,,2.0,3.35,1,correct,球L,0.396,0.705,0.157,correct_only,hit,correct,球L,0.396,0.705,0.071,correct_only,hit,0.396,0.396,,
2026_08_16/s3,4,球M,≥2.5°,clear,,3.19,3.91,1,correct,球M,1.518,0.829,0.045,correct_only,hit,correct,球M,1.518,0.829,0.045,correct_only,hit,2.133,2.133,,
2026_08_16/s3,5,球R,1.0–2.5°,clear,,1.53,3.4,1,correct,球R,0.595,0.741,0.276,correct_only,hit,correct,球R,0.595,0.741,0.276,correct_only,hit,0.595,0.595,,
2026_08_16/s3,6,球R,1.0–2.5°,clear,,1.53,3.39,1,correct,球R,0.605,0.709,0.324,correct_only,hit,correct,球R,0.605,0.709,0.324,correct_only,hit,0.605,0.605,,
2026_08_16/s3,7,球L,1.0–2.5°,clear,,2.0,3.34,1,correct,球L,0.419,0.557,0.174,correct_only,hit,correct,球L,0.419,0.557,0.174,correct_only,hit,0.677,0.677,0.577,0.192
2026_08_16/s3,8,球L,1.0–2.5°,clear,,2.0,3.35,1,correct,球L,0.447,0.709,0.154,correct_only,hit,correct,球L,0.447,0.709,0.069,correct_only,hit,0.447,0.447,,
2026_08_16/s3,9,球M,≥2.5°,clear,,3.19,3.4,1,correct,球M,1.847,0.885,0.028,correct_only,hit,correct,球M,1.847,0.885,0.028,correct_only,hit,1.923,1.923,,
2026_08_16/s3,10,球R,1.0–2.5°,clear,,1.53,3.4,1,wrong,球M,0.843,0.833,0.114,mixed,hit,wrong,球M,0.843,0.833,0.114,mixed,hit,1.019,1.019,0.843,0.843
2026_08_16/s3,11,球L,1.0–2.5°,clear,,2.0,3.35,1,correct,球L,0.537,0.509,0.356,correct_only,hit,correct,球L,0.537,0.509,0.168,correct_only,hit,0.537,0.537,,
2026_08_16/s3,12,球M,≥2.5°,clear,,3.19,4.0,1,correct,球M,1.956,0.98,0.005,correct_only,hit,correct,球M,1.956,0.98,0.005,correct_only,hit,1.956,1.956,,
2026_08_16/s3,13,球R,1.0–2.5°,clear,,1.53,3.38,1,correct,球R,0.586,0.822,0.171,correct_only,hit,correct,球R,0.586,0.822,0.171,correct_only,hit,0.586,0.586,,
2026_08_16/s3,14,球M,≥2.5°,clear,,3.19,3.39,1,correct,球M,0.857,0.998,0.001,correct_only,hit,correct,球M,0.857,0.998,0.001,correct_only,hit,1.773,1.773,0.409,0.114
2026_08_16/s3,15,球R,1.0–2.5°,clear,,1.53,3.38,1,correct,球R,0.825,0.633,0.381,correct_only,hit,correct,球R,0.825,0.633,0.381,correct_only,hit,0.825,0.825,,
2026_08_16/s4,1,球L,1.0–2.5°,clear,,1.67,3.81,1,correct,球L,0.341,0.929,0.023,correct_only,hit,correct,球L,0.341,0.929,0.023,correct_only,hit,0.378,0.378,,
2026_08_16/s4,2,球L,1.0–2.5°,clear,,1.67,3.83,1,correct,球L,0.359,0.927,0.022,correct_only,hit,correct,球L,0.359,0.927,0.022,correct_only,hit,0.359,0.359,,
2026_08_16/s4,3,球M,≥2.5°,clear,,2.82,3.81,1,wrong,球L,0.895,0.671,0.215,mixed,hit,wrong,球L,0.895,0.671,0.079,mixed,hit,0.849,0.849,0.895,0.895
2026_08_16/s4,4,球R,1.0–2.5°,clear,,1.28,3.89,1,wrong,球M,0.239,0.911,0.096,mixed,hit,wrong,球M,0.239,0.911,0.096,mixed,hit,0.25,0.25,0.239,0.239
2026_08_16/s4,5,球R,1.0–2.5°,clear,,1.28,3.83,1,correct,球R,0.216,1.0,0.0,correct_only,hit,correct,球R,0.216,1.0,0.0,correct_only,hit,0.216,0.216,0.004,0.004
2026_08_16/s4,6,球M,≥2.5°,clear,,2.82,3.87,1,wrong,球R,0.552,0.67,0.611,mixed,hit,wrong,球R,0.552,0.67,0.611,mixed,hit,0.919,0.919,0.552,0.552
2026_08_16/s4,7,球M,≥2.5°,clear,,2.82,3.9,1,correct,球M,1.102,0.864,0.036,correct_only,hit,correct,球M,1.102,0.864,0.036,correct_only,hit,1.102,1.102,,
2026_08_16/s4,8,球L,1.0–2.5°,clear,,1.67,3.79,1,wrong,球M,1.259,0.961,0.037,mixed,hit,wrong,球M,1.259,0.961,0.037,mixed,hit,1.071,1.071,1.259,1.259
2026_08_16/s4,9,球R,1.0–2.5°,clear,,1.28,3.79,1,wrong,球L,0.253,0.949,0.016,mixed,hit,wrong,球L,0.253,0.949,0.016,mixed,hit,0.661,0.661,0.629,0.629
