rec,card,era,flags,cfg,k,target,size,theta_unit,tier,occl,walking,stress,window_src,reliable,lcs,has_window,win_start_rel,win_end_rel,n_finals,n_obj_finals,n_acc,n_acc_e2,outcome_first,first_obj,first_lat_end,first_lat_start,first_lat_stare,first_share,first_capture,first_A,first_p_none,first_dur,outcome_any,any_correct,any_wrong,flip_wrong_then_correct,flip_correct_then_wrong,wrong_objs,first_e2,ungated_first,ungated_majority,best_target_capture,best_wrong_capture,best_target_share,best_wrong_share,dist_m
2026_08_16/s2,s2,v7,,vis,12,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,hit,1,94.54,100.51,3,3,3,3,correct,球L,3.72,-0.84,1.05,0.917,1.113,0.037,0.548,4.56,correct_only,1,0,0,0,,correct,correct,correct,1.113,,0.917,,2.47
2026_08_16/s2,s2,v7,,vis,13,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,101.67,107.63,3,3,3,3,correct,球M,3.45,3.01,0.79,1.0,0.96,0.0,0.643,0.43,correct_only,1,0,0,0,,correct,correct,correct,1.308,,1.0,,2.4
2026_08_16/s2,s2,v7,,vis,14,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,hit,1,108.79,114.8,3,3,2,2,correct,球L,4.47,0.78,1.76,0.728,0.888,0.123,0.546,3.68,correct_only,1,0,0,0,,correct,correct,correct,1.099,0.185,0.877,0.97,2.47
2026_08_16/s2,s2,v7,,vis,15,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,hit,1,115.96,121.97,3,3,2,2,correct,球L,2.75,1.51,0.04,0.794,1.031,0.078,0.517,1.25,correct_only,1,0,0,0,,correct,correct,correct,1.058,0.086,0.811,0.758,2.46
2026_08_16/s3,s3,v7,,vis,1,球M,ball(3cm),3.19,≥2.5°,clear,0,0,schedule,1,hit,1,18.24,23.94,4,3,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.067,,1.0,,3.5
2026_08_16/s3,s3,v7,,vis,2,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,hit,1,25.1,30.88,2,2,2,2,correct,球L,2.69,-0.83,0.21,0.974,0.53,0.009,0.879,3.52,correct_only,1,0,0,0,,correct,correct,correct,0.53,,0.992,,3.35
2026_08_16/s3,s3,v7,,vis,3,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,hit,1,32.04,37.86,2,2,1,1,correct,球L,5.14,1.13,2.62,1.0,0.537,0.0,0.88,4.01,correct_only,1,0,0,0,,correct,correct,correct,0.537,,1.0,,3.35
2026_08_16/s3,s3,v7,,vis,4,球M,ball(3cm),3.19,≥2.5°,clear,0,0,schedule,1,hit,1,39.02,44.84,4,4,4,4,correct,球M,1.62,1.3,-0.9,0.978,0.683,0.007,0.856,0.32,correct_only,1,0,0,0,,correct,correct,correct,0.95,,1.0,,3.91
2026_08_16/s3,s3,v7,,vis,5,球R,ball(3cm),1.53,1.0–2.5°,clear,0,0,schedule,1,hit,1,46.0,51.67,1,1,1,1,correct,球R,5.49,-0.85,3.12,1.0,0.414,0.0,0.932,6.34,correct_only,1,0,0,0,,correct,correct,correct,0.414,,1.0,,3.4
2026_08_16/s3,s3,v7,,vis,6,球R,ball(3cm),1.53,1.0–2.5°,clear,0,0,schedule,1,hit,1,52.83,58.53,1,1,1,1,correct,球R,5.63,-0.82,3.23,1.0,0.497,0.0,0.919,6.45,correct_only,1,0,0,0,,correct,correct,correct,0.497,,1.0,,3.39
