rec,card,era,flags,cfg,t_start_rel,t_end_rel,dur_s,dist_m,object,object_label,share,q,capture,A_cap,A_share,p_none,surface,W,acc_live,acc_e2,window_k,target,correct,n_cands,candidates
2026_08_16/000,e1,v7,,v1_votescope_all,66.87,67.15,0.27,1.54,object#17,17,0.808,,,,0.061,0.004,,,1,1,4,香蕉,0,3,"[{""name"": ""object#17"", ""share"": 0.808, ""labels"": [17]}, {""name"": ""object#10"", ""share"": 0.049, ""labels"": [10]}, {""name"": ""object#316"", ""share"": 0.048, ""labels"": [316]}]"
2026_08_16/000,e1,v7,,v1_votescope_all,67.2,68.03,0.83,1.577,香蕉,323,0.365,,,,0.959,0.004,,,0,0,,,,3,"[{""name"": ""香蕉"", ""share"": 0.365, ""labels"": [323]}, {""name"": ""object#316"", ""share"": 0.35, ""labels"": [316]}, {""name"": ""object#17"", ""share"": 0.227, ""labels"": [17]}]"
2026_08_16/000,e1,v7,,v1_votescope_all,68.59,69.54,0.95,1.423,object#316,316,0.552,,,,0.652,0.038,,,1,1,,,,3,"[{""name"": ""object#316"", ""share"": 0.552, ""labels"": [316]}, {""name"": ""球L"", ""share"": 0.36, ""labels"": [320]}, {""name"": ""object#10"", ""share"": 0.042, ""labels"": [10]}]"
2026_08_16/000,e1,v7,,v1_votescope_all,70.45,70.95,0.5,2.689,floor,0,0.662,,,,0.29,0.508,,,0,0,5,球R,0,3,"[{""name"": ""floor"", ""share"": 0.662, ""labels"": [0]}, {""name"": ""object#318"", ""share"": 0.192, ""labels"": [318]}, {""name"": ""球R"", ""share"": 0.078, ""labels"": [322]}]"
2026_08_16/000,e1,v7,,v1_votescope_all,71.0,73.51,2.51,1.48,球R,322,0.426,,,,0.986,0.624,,,0,0,5,球R,1,3,"[{""name"": ""球R"", ""share"": 0.426, ""labels"": [322]}, {""name"": ""object#318"", ""share"": 0.42, ""labels"": [318]}, {""name"": ""object#10"", ""share"": 0.086, ""labels"": [10]}]"
2026_08_16/000,e1,v7,,v1_votescope_all,74.33,74.83,0.5,1.626,object#17,17,0.417,,,,0.655,0.556,,,1,0,,,,3,"[{""name"": ""object#17"", ""share"": 0.417, ""labels"": [17]}, {""name"": ""object#201"", ""share"": 0.273, ""labels"": [201]}, {""name"": ""石榴"", ""share"": 0.207, ""labels"": [78]}]"
2026_08_16/000,e1,v7,,v1_votescope_all,75.26,77.05,1.79,1.418,object#316,316,0.58,,,,0.566,0.03,,,1,1,,,,3,"[{""name"": ""object#316"", ""share"": 0.58, ""labels"": [316]}, {""name"": ""球L"", ""share"": 0.328, ""labels"": [320]}, {""name"": ""香蕉"", ""share"": 0.042, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,v1_votescope_all,77.16,78.55,1.4,1.418,object#316,316,0.597,,,,0.514,0.026,,,1,1,6,球L,0,3,"[{""name"": ""object#316"", ""share"": 0.597, ""labels"": [316]}, {""name"": ""球L"", ""share"": 0.307, ""labels"": [320]}, {""name"": ""香蕉"", ""share"": 0.045, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,v1_votescope_all,78.84,79.52,0.69,1.415,object#316,316,0.56,,,,0.561,0.027,,,1,1,6,球L,0,3,"[{""name"": ""object#316"", ""share"": 0.56, ""labels"": [316]}, {""name"": ""球L"", ""share"": 0.314, ""labels"": [320]}, {""name"": ""香蕉"", ""share"": 0.073, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,v1_votescope_all,79.58,79.85,0.27,1.492,object#316,316,0.604,,,,0.389,0.034,,,1,1,6,球L,0,3,"[{""name"": ""object#316"", ""share"": 0.604, ""labels"": [316]}, {""name"": ""香蕉"", ""share"": 0.235, ""labels"": [323]}, {""name"": ""球L"", ""share"": 0.076, ""labels"": [320]}]"
