rec,card,era,flags,cfg,k,target,size,theta_unit,tier,occl,walking,stress,window_src,reliable,lcs,has_window,win_start_rel,win_end_rel,n_finals,n_obj_finals,n_acc,n_acc_e2,outcome_first,first_obj,first_lat_end,first_lat_start,first_lat_stare,first_share,first_capture,first_A,first_p_none,first_dur,outcome_any,any_correct,any_wrong,flip_wrong_then_correct,flip_correct_then_wrong,wrong_objs,first_e2,ungated_first,ungated_majority,best_target_capture,best_wrong_capture,best_target_share,best_wrong_share,dist_m
2026_08_16/s2,s2,v7,,naive,6,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,52.69,58.39,2,2,2,2,correct,球R,4.39,-0.81,1.99,1.0,,,0.584,5.2,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,2.46
2026_08_16/s2,s2,v7,,naive,7,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,59.55,65.33,4,4,4,4,correct,球M,2.25,1.28,-0.23,1.0,,,0.542,0.97,mixed,1,1,1,1,香蕉,correct,correct,correct,0.0,0.0,1.0,1.0,2.45
2026_08_16/s2,s2,v7,,naive,8,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,hit,1,66.69,72.44,1,1,1,1,correct,球L,5.46,-0.39,3.01,1.0,,,0.417,5.85,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,2.47
2026_08_16/s2,s2,v7,,naive,9,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,73.6,79.28,1,1,1,1,correct,球R,5.49,2.89,3.11,1.0,,,0.608,2.6,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,2.55
2026_08_16/s2,s2,v7,,naive,10,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,80.44,86.23,3,3,3,3,correct,球R,2.77,-0.37,0.28,1.0,,,0.531,3.14,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,2.52
2026_08_16/s2,s2,v7,,naive,11,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,87.39,93.38,5,5,5,5,correct,球M,1.73,1.3,-0.96,1.0,,,0.569,0.43,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,2.39
2026_08_16/s2,s2,v7,,naive,12,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,hit,1,94.54,100.51,3,3,3,3,correct,球L,3.72,-0.84,1.05,1.0,,,0.428,4.56,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,2.47
2026_08_16/s2,s2,v7,,naive,13,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,101.67,107.63,3,3,3,3,correct,球M,3.45,3.01,0.79,1.0,,,0.608,0.43,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,2.4
2026_08_16/s2,s2,v7,,naive,14,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,hit,1,108.79,114.8,3,3,3,3,correct,球L,4.47,0.78,1.76,1.0,,,0.376,3.68,mixed,1,1,1,1,球M,correct,correct,correct,0.0,0.0,1.0,1.0,2.47
2026_08_16/s2,s2,v7,,naive,15,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,hit,1,115.96,121.97,3,3,3,3,correct,球L,2.75,1.51,0.04,1.0,,,0.393,1.25,mixed,1,1,0,1,球M,correct,correct,correct,0.0,0.0,1.0,1.0,2.46
2026_08_16/s3,s3,v7,,naive,1,球M,ball(3cm),3.19,≥2.5°,clear,0,0,schedule,1,hit,1,18.24,23.94,4,4,4,4,correct,球M,2.43,1.83,0.03,1.0,,,0.927,0.6,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,3.45
2026_08_16/s3,s3,v7,,naive,2,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,hit,1,25.1,30.88,2,2,2,2,correct,球L,2.69,-0.83,0.21,1.0,,,0.765,3.52,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,3.35
2026_08_16/s3,s3,v7,,naive,3,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,hit,1,32.04,37.86,2,2,2,2,correct,球L,5.14,1.13,2.62,1.0,,,0.785,4.01,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,3.35
2026_08_16/s3,s3,v7,,naive,4,球M,ball(3cm),3.19,≥2.5°,clear,0,0,schedule,1,hit,1,39.02,44.84,4,4,4,4,correct,球M,1.62,1.3,-0.9,1.0,,,0.709,0.32,mixed,1,1,0,1,background,correct,correct,correct,0.0,0.0,1.0,0.963,3.91
2026_08_16/s3,s3,v7,,naive,5,球R,ball(3cm),1.53,1.0–2.5°,clear,0,0,schedule,1,hit,1,46.0,51.67,1,1,1,1,correct,球R,5.49,-0.85,3.12,1.0,,,0.808,6.34,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,3.4
2026_08_16/s3,s3,v7,,naive,6,球R,ball(3cm),1.53,1.0–2.5°,clear,0,0,schedule,1,hit,1,52.83,58.53,1,1,1,1,correct,球R,5.63,-0.82,3.23,1.0,,,0.792,6.45,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,3.39
2026_08_16/s3,s3,v7,,naive,7,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,hit,1,59.69,65.49,4,4,4,4,correct,球L,3.94,2.59,1.44,1.0,,,0.739,1.35,mixed,1,1,1,1,香蕉,correct,correct,correct,0.0,0.0,1.0,1.0,3.34
2026_08_16/s3,s3,v7,,naive,8,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,hit,1,66.69,72.43,1,1,1,1,correct,球L,5.56,-0.39,3.12,1.0,,,0.781,5.96,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,3.35
2026_08_16/s3,s3,v7,,naive,9,球M,ball(3cm),3.19,≥2.5°,clear,0,0,schedule,1,hit,1,73.59,79.32,3,3,3,3,correct,球M,2.63,-0.99,0.2,1.0,,,0.66,3.63,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,3.4
2026_08_16/s3,s3,v7,,naive,10,球R,ball(3cm),1.53,1.0–2.5°,clear,0,0,schedule,1,hit,1,80.48,86.27,3,3,3,3,wrong,球M,3.46,2.49,0.97,1.0,,,0.803,0.97,mixed,1,1,1,1,球L|球M,wrong,wrong,wrong,0.0,0.0,1.0,1.0,3.4
2026_08_16/s3,s3,v7,,naive,11,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,hit,1,87.43,93.42,2,2,2,2,correct,球L,4.43,0.69,1.74,1.0,,,0.671,3.74,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,3.35
2026_08_16/s3,s3,v7,,naive,12,球M,ball(3cm),3.19,≥2.5°,clear,0,0,schedule,1,hit,1,94.58,100.52,2,2,2,2,wrong,background,2.66,1.79,0.02,0.958,,,0.808,0.87,mixed,1,1,1,0,background,wrong,wrong,correct,0.0,0.0,1.0,0.958,4.0
2026_08_16/s3,s3,v7,,naive,13,球R,ball(3cm),1.53,1.0–2.5°,clear,0,0,schedule,1,hit,1,101.68,107.62,2,2,2,2,correct,球R,5.02,-0.78,2.38,1.0,,,0.82,5.8,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,3.38
2026_08_16/s3,s3,v7,,naive,14,球M,ball(3cm),3.19,≥2.5°,clear,0,0,schedule,1,hit,1,108.78,114.79,3,3,3,3,correct,球M,1.85,1.15,-0.86,1.0,,,0.843,0.7,mixed,1,1,1,1,球L,correct,correct,correct,0.0,0.0,1.0,1.0,3.39
2026_08_16/s3,s3,v7,,naive,15,球R,ball(3cm),1.53,1.0–2.5°,clear,0,0,schedule,1,hit,1,115.95,121.92,1,1,1,1,correct,球R,6.47,-0.63,3.8,1.0,,,0.744,7.1,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,3.38
2026_08_16/s4,s4,v8,,naive,1,球L,ball(3cm),1.67,1.0–2.5°,clear,0,0,schedule,1,hit,1,15.68,21.4,2,2,2,2,correct,球L,3.95,2.44,1.53,1.0,,,0.906,1.52,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,3.81
2026_08_16/s4,s4,v8,,naive,2,球L,ball(3cm),1.67,1.0–2.5°,clear,0,0,schedule,1,hit,1,22.56,28.34,2,2,2,2,correct,球L,2.12,0.06,-0.36,1.0,,,0.951,2.06,correct_only,1,0,0,0,,correct,correct,correct,0.0,,1.0,,3.83
