rec,card,era,flags,cfg,k,target,size,theta_unit,tier,occl,walking,stress,window_src,reliable,lcs,has_window,win_start_rel,win_end_rel,n_finals,n_obj_finals,n_acc,n_acc_e2,outcome_first,first_obj,first_lat_end,first_lat_start,first_lat_stare,first_share,first_capture,first_A,first_p_none,first_dur,outcome_any,any_correct,any_wrong,flip_wrong_then_correct,flip_correct_then_wrong,wrong_objs,first_e2,ungated_first,ungated_majority,ungated_majority_obj,ungated_majority_dur,gated_majority,gated_majority_obj,gated_majority_dur,best_target_capture,best_wrong_capture,best_target_share,best_wrong_share,dist_m
2026_08_16/001,e2,v7,stress,noocc15,10,球R,ball(3cm),1.56,1.0–2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,59.99,66.81,2,2,2,2,correct,球R,2.78,0.5,2.28,0.571,1.237,0.47,0.844,2.27,correct_only,1,0,0,0,,correct,correct,correct,球R,5.8,correct,球R,5.8,1.237,,0.751,,3.33
2026_08_16/001,e2,v7,stress,noocc15,11,球L,ball(3cm),2.1,1.0–2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,66.7,74.18,3,3,3,3,correct,球L,2.72,0.5,2.22,0.679,0.674,0.114,0.891,2.22,correct_only,1,0,0,0,,correct,correct,correct,球L,6.23,correct,球L,6.23,0.996,,0.723,,3.28
2026_08_16/001,e2,v7,stress,noocc15,12,球M,ball(3cm),3.21,≥2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,92.73,95.86,3,3,2,2,correct,球M,0.77,0.5,0.27,0.997,0.56,0.0,0.949,0.27,correct_only,1,0,0,0,,correct,correct,correct,球M,1.68,correct,球M,0.7,1.258,,0.997,,3.71
2026_08_16/s1,s1,v7,,noocc15,1,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,16.77,22.45,3,3,3,3,correct,球R,2.93,-0.76,0.55,1.0,1.134,0.0,0.676,3.68,correct_only,1,0,0,0,,correct,correct,correct,球R,5.8,correct,球R,5.8,1.239,,1.0,,1.61
2026_08_16/s1,s1,v7,,noocc15,2,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,23.61,29.38,1,1,1,1,correct,球L,5.65,-0.85,3.18,0.982,1.133,0.008,0.504,6.5,correct_only,1,0,0,0,,correct,correct,correct,球L,6.5,correct,球L,6.5,1.133,,0.982,,1.53
2026_08_16/s1,s1,v7,,noocc15,3,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,30.54,36.34,2,2,2,2,correct,球M,1.86,1.05,-0.64,1.0,1.21,0.0,0.517,0.81,correct_only,1,0,0,0,,correct,correct,correct,球M,4.33,correct,球M,4.33,1.21,,1.0,,1.49
2026_08_16/s1,s1,v7,,noocc15,4,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,37.5,43.32,3,3,3,3,correct,球L,1.83,1.12,-0.69,0.975,0.949,0.012,0.581,0.7,correct_only,1,0,0,0,,correct,correct,correct,球L,4.22,correct,球L,4.22,1.098,,0.975,,1.54
2026_08_16/s1,s1,v7,,noocc15,5,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,44.48,50.18,1,1,1,1,correct,球M,5.38,-0.64,2.98,1.0,1.218,0.0,0.515,6.01,correct_only,1,0,0,0,,correct,correct,correct,球M,6.01,correct,球M,6.01,1.218,,1.0,,1.5
2026_08_16/s1,s1,v7,,noocc15,6,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,51.34,57.08,4,4,4,4,correct,球M,2.81,-0.71,0.37,1.0,1.218,0.0,0.515,3.52,correct_only,1,0,0,0,,correct,correct,correct,球M,5.69,correct,球M,5.69,1.28,,1.0,,1.49
2026_08_16/s1,s1,v7,,noocc15,7,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,58.24,63.97,2,2,2,2,correct,球R,2.71,-1.24,0.28,1.0,1.217,0.0,0.634,3.95,correct_only,1,0,0,0,,correct,correct,correct,球R,6.39,correct,球R,6.39,1.217,,1.0,,1.59
2026_08_16/s1,s1,v7,,noocc15,8,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,65.37,71.11,2,2,2,2,correct,球L,3.6,-0.19,1.16,1.0,0.999,0.0,0.602,3.79,correct_only,1,0,0,0,,correct,correct,correct,球L,5.2,correct,球L,5.2,1.102,,1.0,,1.56
2026_08_16/s1,s1,v7,,noocc15,9,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,72.27,78.0,1,1,1,1,correct,球L,5.21,-1.02,2.78,1.0,0.891,0.0,0.645,6.23,correct_only,1,0,0,0,,correct,correct,correct,球L,6.23,correct,球L,6.23,0.891,,1.0,,1.58
2026_08_16/s1,s1,v7,,noocc15,10,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,79.16,84.98,6,6,6,6,correct,球M,1.25,0.66,-1.27,1.0,0.904,0.0,0.652,0.6,correct_only,1,0,0,0,,correct,correct,correct,球M,3.85,correct,球M,3.85,1.254,,1.0,,1.56
2026_08_16/s1,s1,v7,,noocc15,11,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,86.14,92.08,1,1,1,1,correct,球R,5.41,1.51,2.77,1.0,0.777,0.0,0.766,3.9,correct_only,1,0,0,0,,correct,correct,correct,球R,3.9,correct,球R,3.9,0.777,,1.0,,1.6
2026_08_16/s1,s1,v7,,noocc15,12,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,93.24,99.18,2,2,2,2,correct,球M,4.42,-1.21,1.78,1.0,1.01,0.0,0.597,5.63,correct_only,1,0,0,0,,correct,correct,correct,球M,6.77,correct,球M,6.77,1.309,,1.0,,1.5
2026_08_16/s1,s1,v7,,noocc15,13,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,100.34,106.28,1,1,1,1,correct,球R,5.64,-1.08,3.0,0.999,1.2,0.001,0.657,6.72,correct_only,1,0,0,0,,correct,correct,correct,球R,6.72,correct,球R,6.72,1.2,,0.999,,1.61
2026_08_16/s1,s1,v7,,noocc15,14,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,107.44,113.4,3,3,3,3,correct,球R,3.92,-0.95,1.26,0.996,1.099,0.003,0.685,4.87,correct_only,1,0,0,0,,correct,correct,correct,球R,6.61,correct,球R,6.61,1.099,,0.996,,1.62
2026_08_16/s1,s1,v7,,noocc15,15,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,114.56,120.57,1,1,1,1,correct,球L,5.74,-0.97,3.03,1.0,0.834,0.0,0.668,6.72,correct_only,1,0,0,0,,correct,correct,correct,球L,6.72,correct,球L,6.72,0.834,,1.0,,1.59
2026_08_16/s2,s2,v7,,noocc15,1,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,18.18,23.88,1,1,1,1,correct,球M,5.74,2.11,3.34,1.0,1.221,0.0,0.769,3.63,correct_only,1,0,0,0,,correct,correct,correct,球M,3.63,correct,球M,3.63,1.221,,1.0,,2.35
2026_08_16/s2,s2,v7,,noocc15,2,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,25.04,30.76,2,2,2,2,correct,球R,2.98,-0.81,0.56,0.877,1.103,0.117,0.828,3.79,correct_only,1,0,0,0,,correct,correct,correct,球R,6.23,correct,球R,6.23,1.103,,0.883,,2.48
2026_08_16/s2,s2,v7,,noocc15,3,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,31.92,37.72,5,5,5,5,correct,球M,1.51,0.7,-0.99,1.0,1.621,0.0,0.735,0.81,correct_only,1,0,0,0,,correct,correct,correct,球M,4.28,correct,球M,4.28,1.624,,1.0,,2.45
2026_08_16/s2,s2,v7,,noocc15,4,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,38.88,44.65,3,3,3,3,correct,球R,3.41,-0.93,0.94,0.8,1.631,0.181,0.758,4.33,correct_only,1,0,0,0,,correct,correct,correct,球R,6.23,correct,球R,6.23,1.696,,0.815,,2.49
2026_08_16/s2,s2,v7,,noocc15,5,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,hit,1,45.81,51.53,3,3,2,2,correct,球L,3.44,-0.89,1.02,0.594,1.15,0.252,0.601,4.33,correct_only,1,0,0,0,,correct,correct,correct,球L,6.28,correct,球L,5.8,1.168,,0.643,,2.43
2026_08_16/s2,s2,v7,,noocc15,6,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,52.69,58.39,2,2,2,2,correct,球R,4.39,-0.81,1.99,0.786,1.354,0.227,0.764,5.2,correct_only,1,0,0,0,,correct,correct,correct,球R,6.01,correct,球R,6.01,1.354,,0.786,,2.46
2026_08_16/s2,s2,v7,,noocc15,7,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,59.55,65.33,4,4,3,3,correct,球M,2.25,1.28,-0.23,0.991,1.527,0.003,0.708,0.97,correct_only,1,0,0,0,,correct,correct,correct,球M,2.87,correct,球M,2.87,1.527,0.674,1.0,0.353,2.45
