rec,card,era,flags,cfg,t_start_rel,t_end_rel,dur_s,dist_m,object,object_label,share,q,capture,A_cap,A_share,p_none,surface,W,acc_live,acc_e2,window_k,target,correct,n_cands,candidates
2026_08_16/000,e1,v7,,sphere10,71.0,73.51,2.51,1.48,球R,322,1.0,0.582,,,0.0,0.418,object#318,,0,0,5,球R,1,1,"[{""name"": ""球R"", ""share"": 1.0, ""q"": 0.582, ""capture"": null, ""miss_deg"": null, ""labels"": [322]}]"
2026_08_16/000,e1,v7,,sphere10,74.33,74.83,0.5,1.626,石榴,78,0.765,0.295,,,0.307,0.614,object#17,,0,0,,,,2,"[{""name"": ""石榴"", ""share"": 0.765, ""q"": 0.295, ""capture"": null, ""miss_deg"": null, ""labels"": [78]}, {""name"": ""球R"", ""share"": 0.235, ""q"": 0.09, ""capture"": null, ""miss_deg"": null, ""labels"": [322]}]"
2026_08_16/000,e1,v7,,sphere10,75.26,77.05,1.79,1.418,球L,320,0.818,0.54,,,0.222,0.34,object#10,,0,0,,,,2,"[{""name"": ""球L"", ""share"": 0.818, ""q"": 0.54, ""capture"": null, ""miss_deg"": null, ""labels"": [320]}, {""name"": ""香蕉"", ""share"": 0.182, ""q"": 0.12, ""capture"": null, ""miss_deg"": null, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,sphere10,77.16,78.55,1.4,1.418,球L,320,0.827,0.551,,,0.209,0.333,object#10,,0,0,6,球L,1,2,"[{""name"": ""球L"", ""share"": 0.827, ""q"": 0.551, ""capture"": null, ""miss_deg"": null, ""labels"": [320]}, {""name"": ""香蕉"", ""share"": 0.173, ""q"": 0.115, ""capture"": null, ""miss_deg"": null, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,sphere10,78.84,79.52,0.69,1.415,球L,320,0.831,0.573,,,0.203,0.31,object#316,,0,0,6,球L,1,2,"[{""name"": ""球L"", ""share"": 0.831, ""q"": 0.573, ""capture"": null, ""miss_deg"": null, ""labels"": [320]}, {""name"": ""香蕉"", ""share"": 0.169, ""q"": 0.117, ""capture"": null, ""miss_deg"": null, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,sphere10,79.58,79.85,0.27,1.492,香蕉,323,0.636,0.397,,,0.517,0.376,object#316,,0,0,6,球L,0,3,"[{""name"": ""香蕉"", ""share"": 0.636, ""q"": 0.397, ""capture"": null, ""miss_deg"": null, ""labels"": [323]}, {""name"": ""球L"", ""share"": 0.329, ""q"": 0.205, ""capture"": null, ""miss_deg"": null, ""labels"": [320]}, {""name"": ""球M"", ""share"": 0.034, ""q"": 0.021, ""capture"": null, ""miss_deg"": null, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,sphere10,79.96,80.67,0.71,1.492,香蕉,323,0.708,0.466,,,0.398,0.342,object#316,,0,0,6,球L,0,3,"[{""name"": ""香蕉"", ""share"": 0.708, ""q"": 0.466, ""capture"": null, ""miss_deg"": null, ""labels"": [323]}, {""name"": ""球L"", ""share"": 0.282, ""q"": 0.186, ""capture"": null, ""miss_deg"": null, ""labels"": [320]}, {""name"": ""球M"", ""share"": 0.009, ""q"": 0.006, ""capture"": null, ""miss_deg"": null, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,sphere10,80.73,81.25,0.52,1.436,球L,320,0.729,0.461,,,0.372,0.367,object#10,,0,0,,,,2,"[{""name"": ""球L"", ""share"": 0.729, ""q"": 0.461, ""capture"": null, ""miss_deg"": null, ""labels"": [320]}, {""name"": ""香蕉"", ""share"": 0.271, ""q"": 0.172, ""capture"": null, ""miss_deg"": null, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,sphere10,81.3,81.8,0.5,1.483,香蕉,323,0.762,0.536,,,0.27,0.296,object#316,,0,0,,,,3,"[{""name"": ""香蕉"", ""share"": 0.762, ""q"": 0.536, ""capture"": null, ""miss_deg"": null, ""labels"": [323]}, {""name"": ""球L"", ""share"": 0.206, ""q"": 0.145, ""capture"": null, ""miss_deg"": null, ""labels"": [320]}, {""name"": ""苹果"", ""share"": 0.022, ""q"": 0.015, ""capture"": null, ""miss_deg"": null, ""labels"": [300]}]"
2026_08_16/000,e1,v7,,sphere10,82.49,82.87,0.38,1.386,球M,321,1.0,0.73,,,0.0,0.27,object#17,,0,0,,,,1,"[{""name"": ""球M"", ""share"": 1.0, ""q"": 0.73, ""capture"": null, ""miss_deg"": null, ""labels"": [321]}]"
