rec,card,era,flags,cfg,t_start_rel,t_end_rel,dur_s,dist_m,object,object_label,share,q,capture,A_cap,A_share,p_none,surface,W,acc_live,acc_e2,window_k,target,correct,n_cands,candidates
2026_08_16/s4,s4,v8,,noocc15,80.32,81.26,0.94,3.78,球L,191,0.645,0.0862,0.947,0.12,0.417,0.866,object#27,389.5337,1,1,9,球R,0,4,"[{""name"": ""球L"", ""m"": 33.56324, ""q"": 0.0862, ""c"": 0.091, ""capture"": 0.947, ""share"": 0.645, ""miss_deg"": 0.5, ""labels"": [191]}, {""name"": ""香蕉"", ""m"": 14.01108, ""q"": 0.036, ""c"": 0.3157, ""capture"": 0.114, ""share"": 0.269, ""miss_deg"": 3.13, ""labels"": [196]}, {""name"": ""苹果"", ""m"": 3.41433, ""q"": 0.0088, ""c"": 0.091, ""capture"": 0.096, ""share"": 0.066, ""miss_deg"": 3.25, ""labels"": [194]}, {""name"": ""球M"", ""m"": 1.0262, ""q"": 0.0026, ""c"": 0.091, ""capture"": 0.029, ""share"": 0.02, ""miss_deg"": 3.99, ""labels"": [192]}]"
2026_08_16/s4,s4,v8,,noocc15,82.19,84.34,2.16,3.842,球R,193,0.788,0.0755,0.829,0.379,0.259,0.904,object#17,389.5337,1,1,9,球R,1,3,"[{""name"": ""球R"", ""m"": 29.3964, ""q"": 0.0755, ""c"": 0.091, ""capture"": 0.829, ""share"": 0.788, ""miss_deg"": 0.92, ""labels"": [193]}, {""name"": ""石榴"", ""m"": 7.61645, ""q"": 0.0196, ""c"": 0.0623, ""capture"": 0.314, ""share"": 0.204, ""miss_deg"": 2.28, ""labels"": [195]}, {""name"": ""球M"", ""m"": 0.27902, ""q"": 0.0007, ""c"": 0.091, ""capture"": 0.008, ""share"": 0.007, ""miss_deg"": 4.67, ""labels"": [192]}]"
2026_08_16/s4,s4,v8,,noocc15,84.45,84.74,0.29,3.81,球R,193,0.748,0.0882,0.969,0.485,0.333,0.882,object#17,389.5337,1,1,9,球R,1,3,"[{""name"": ""球R"", ""m"": 34.36591, ""q"": 0.0882, ""c"": 0.091, ""capture"": 0.969, ""share"": 0.748, ""miss_deg"": 0.37, ""labels"": [193]}, {""name"": ""石榴"", ""m"": 11.41761, ""q"": 0.0293, ""c"": 0.0623, ""capture"": 0.47, ""share"": 0.249, ""miss_deg"": 1.84, ""labels"": [195]}, {""name"": ""球M"", ""m"": 0.14143, ""q"": 0.0004, ""c"": 0.091, ""capture"": 0.004, ""share"": 0.003, ""miss_deg"": 4.99, ""labels"": [192]}]"
2026_08_16/s4,s4,v8,,noocc15,85.05,85.58,0.52,3.801,球R,193,0.808,0.0721,0.792,0.346,0.236,0.911,object#17,389.5337,1,1,,,,3,"[{""name"": ""球R"", ""m"": 28.0876, ""q"": 0.0721, ""c"": 0.091, ""capture"": 0.792, ""share"": 0.808, ""miss_deg"": 1.02, ""labels"": [193]}, {""name"": ""石榴"", ""m"": 6.6589, ""q"": 0.0171, ""c"": 0.0623, ""capture"": 0.274, ""share"": 0.191, ""miss_deg"": 2.41, ""labels"": [195]}, {""name"": ""球M"", ""m"": 0.03156, ""q"": 0.0001, ""c"": 0.091, ""capture"": 0.001, ""share"": 0.001, ""miss_deg"": 5.62, ""labels"": [192]}]"
2026_08_16/s4,s4,v8,,noocc15,86.15,86.85,0.7,3.823,球R,193,0.999,0.0206,0.227,0.0,0.001,0.979,object#17,389.5337,1,1,,,,3,"[{""name"": ""球R"", ""m"": 8.03269, ""q"": 0.0206, ""c"": 0.091, ""capture"": 0.227, ""share"": 0.999, ""miss_deg"": 2.58, ""labels"": [193]}, {""name"": ""球M"", ""m"": 0.00936, ""q"": 0.0, ""c"": 0.091, ""capture"": 0.0, ""share"": 0.001, ""miss_deg"": 6.09, ""labels"": [192]}, {""name"": ""石榴"", ""m"": 0.00085, ""q"": 0.0, ""c"": 0.0623, ""capture"": 0.0, ""share"": 0.0, ""miss_deg"": 6.79, ""labels"": [195]}]"
2026_08_16/s4,s4,v8,,noocc15,86.97,87.49,0.52,3.805,球R,193,0.996,0.0178,0.196,0.005,0.004,0.982,object#17,389.5337,0,0,10,球M,0,2,"[{""name"": ""球R"", ""m"": 6.94749, ""q"": 0.0178, ""c"": 0.091, ""capture"": 0.196, ""share"": 0.996, ""miss_deg"": 2.71, ""labels"": [193]}, {""name"": ""球M"", ""m"": 0.02675, ""q"": 0.0001, ""c"": 0.091, ""capture"": 0.001, ""share"": 0.004, ""miss_deg"": 5.69, ""labels"": [192]}]"
2026_08_16/s4,s4,v8,,noocc15,87.74,88.09,0.35,3.816,球R,193,0.936,0.0368,0.404,0.077,0.052,0.961,object#17,389.5337,1,1,10,球M,0,3,"[{""name"": ""球R"", ""m"": 14.31968, ""q"": 0.0368, ""c"": 0.091, ""capture"": 0.404, ""share"": 0.936, ""miss_deg"": 2.02, ""labels"": [193]}, {""name"": ""石榴"", ""m"": 0.75118, ""q"": 0.0019, ""c"": 0.0623, ""capture"": 0.031, ""share"": 0.049, ""miss_deg"": 3.95, ""labels"": [195]}, {""name"": ""球M"", ""m"": 0.23522, ""q"": 0.0006, ""c"": 0.091, ""capture"": 0.007, ""share"": 0.015, ""miss_deg"": 4.75, ""labels"": [192]}]"
2026_08_16/s4,s4,v8,,noocc15,88.2,88.55,0.35,3.794,球R,193,0.684,0.1075,1.181,0.671,0.459,0.843,object#17,389.5337,1,1,10,球M,0,3,"[{""name"": ""球R"", ""m"": 41.85762, ""q"": 0.1075, ""c"": 0.091, ""capture"": 1.181, ""share"": 0.684, ""miss_deg"": 0.0, ""labels"": [193]}, {""name"": ""石榴"", ""m"": 19.24441, ""q"": 0.0494, ""c"": 0.0623, ""capture"": 0.793, ""share"": 0.314, ""miss_deg"": 1.02, ""labels"": [195]}, {""name"": ""球M"", ""m"": 0.13466, ""q"": 0.0003, ""c"": 0.091, ""capture"": 0.004, ""share"": 0.002, ""miss_deg"": 5.01, ""labels"": [192]}]"
2026_08_16/s4,s4,v8,,noocc15,95.13,95.51,0.39,3.801,球M,192,0.533,0.1332,1.464,0.223,0.223,0.75,object#10,389.5337,1,1,11,球R,0,4,"[{""name"": ""球M"", ""m"": 51.89327, ""q"": 0.1332, ""c"": 0.091, ""capture"": 1.464, ""share"": 0.533, ""miss_deg"": 0.0, ""labels"": [192]}, {""name"": ""苹果"", ""m"": 11.56047, ""q"": 0.0297, ""c"": 0.091, ""capture"": 0.326, ""share"": 0.119, ""miss_deg"": 2.25, ""labels"": [194]}, {""name"": ""球L"", ""m"": 7.70148, ""q"": 0.0198, ""c"": 0.091, ""capture"": 0.217, ""share"": 0.079, ""miss_deg"": 2.62, ""labels"": [191]}, {""name"": ""香蕉"", ""m"": 26.24841, ""q"": 0.0674, ""c"": 0.3157, ""capture"": 0.213, ""share"": 0.269, ""miss_deg"": 2.64, ""labels"": [196]}]"
2026_08_16/s4,s4,v8,,noocc15,95.9,97.47,1.57,3.833,球R,193,0.676,0.0578,0.635,0.49,0.336,0.915,object#17,389.5337,1,1,11,球R,1,3,"[{""name"": ""球R"", ""m"": 22.50403, ""q"": 0.0578, ""c"": 0.091, ""capture"": 0.635, ""share"": 0.676, ""miss_deg"": 1.43, ""labels"": [193]}, {""name"": ""石榴"", ""m"": 7.54157, ""q"": 0.0194, ""c"": 0.0623, ""capture"": 0.311, ""share"": 0.227, ""miss_deg"": 2.29, ""labels"": [195]}, {""name"": ""球M"", ""m"": 3.22038, ""q"": 0.0083, ""c"": 0.091, ""capture"": 0.091, ""share"": 0.097, ""miss_deg"": 3.29, ""labels"": [192]}]"
