rec,card,era,flags,cfg,t_start_rel,t_end_rel,dur_s,dist_m,object,object_label,share,q,capture,A_cap,A_share,p_none,surface,W,acc_live,acc_e2,window_k,target,correct,n_cands,candidates
2026_08_16/000,e1,v7,,noocc_ng,67.2,68.03,0.83,1.577,香蕉,323,1.0,0.3618,0.362,0.0,0.0,0.638,object#316,389.6407,1,1,,,,1,"[{""name"": ""香蕉"", ""m"": 140.96219, ""q"": 0.3618, ""c"": 1.0, ""capture"": 0.362, ""share"": 1.0, ""miss_deg"": 1.43, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,noocc_ng,68.59,69.54,0.95,1.423,球L,320,0.997,0.5897,0.746,0.003,0.003,0.409,object#316,389.6407,1,1,,,,2,"[{""name"": ""球L"", ""m"": 229.77433, ""q"": 0.5897, ""c"": 0.7904, ""capture"": 0.746, ""share"": 0.997, ""miss_deg"": 0.77, ""labels"": [320]}, {""name"": ""香蕉"", ""m"": 0.6653, ""q"": 0.0017, ""c"": 1.0, ""capture"": 0.002, ""share"": 0.003, ""miss_deg"": 3.57, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,noocc_ng,70.45,70.95,0.5,2.689,球R,322,1.0,0.0,0.0,0.0,0.0,1.0,floor,389.6407,0,0,5,球R,1,1,"[{""name"": ""球R"", ""m"": 0.00356, ""q"": 0.0, ""c"": 0.2309, ""capture"": 0.0, ""share"": 1.0, ""miss_deg"": 4.5, ""labels"": [322]}]"
2026_08_16/000,e1,v7,,noocc_ng,71.0,73.51,2.51,1.48,球R,322,1.0,0.112,0.186,0.0,0.0,0.888,object#318,389.6407,0,0,5,球R,1,1,"[{""name"": ""球R"", ""m"": 43.6397, ""q"": 0.112, ""c"": 0.603, ""capture"": 0.186, ""share"": 1.0, ""miss_deg"": 1.83, ""labels"": [322]}]"
2026_08_16/000,e1,v7,,noocc_ng,74.33,74.83,0.5,1.626,石榴,78,1.0,0.0238,0.036,0.0,0.0,0.976,object#201,389.6407,0,0,,,,1,"[{""name"": ""石榴"", ""m"": 9.27805, ""q"": 0.0238, ""c"": 0.6676, ""capture"": 0.036, ""share"": 1.0, ""miss_deg"": 2.58, ""labels"": [78]}]"
2026_08_16/000,e1,v7,,noocc_ng,75.26,77.05,1.79,1.418,球L,320,0.993,0.5316,0.668,0.006,0.007,0.464,object#316,389.6407,1,1,,,,2,"[{""name"": ""球L"", ""m"": 207.12015, ""q"": 0.5316, ""c"": 0.7962, ""capture"": 0.668, ""share"": 0.993, ""miss_deg"": 0.9, ""labels"": [320]}, {""name"": ""香蕉"", ""m"": 1.53289, ""q"": 0.0039, ""c"": 1.0, ""capture"": 0.004, ""share"": 0.007, ""miss_deg"": 3.33, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,noocc_ng,77.16,78.55,1.4,1.418,球L,320,0.99,0.4943,0.621,0.008,0.01,0.501,object#316,389.6407,1,1,6,球L,1,2,"[{""name"": ""球L"", ""m"": 192.61435, ""q"": 0.4943, ""c"": 0.7962, ""capture"": 0.621, ""share"": 0.99, ""miss_deg"": 0.98, ""labels"": [320]}, {""name"": ""香蕉"", ""m"": 1.90033, ""q"": 0.0049, ""c"": 1.0, ""capture"": 0.005, ""share"": 0.01, ""miss_deg"": 3.26, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,noocc_ng,78.84,79.52,0.69,1.415,球L,320,0.967,0.4801,0.603,0.027,0.034,0.504,object#316,389.6407,1,1,6,球L,1,2,"[{""name"": ""球L"", ""m"": 187.04729, ""q"": 0.4801, ""c"": 0.7962, ""capture"": 0.603, ""share"": 0.967, ""miss_deg"": 1.01, ""labels"": [320]}, {""name"": ""香蕉"", ""m"": 6.39087, ""q"": 0.0164, ""c"": 1.0, ""capture"": 0.016, ""share"": 0.033, ""miss_deg"": 2.87, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,noocc_ng,79.58,79.85,0.27,1.492,香蕉,323,0.94,0.2164,0.216,0.088,0.064,0.77,object#316,389.6407,1,1,6,球L,0,2,"[{""name"": ""香蕉"", ""m"": 84.30842, ""q"": 0.2164, ""c"": 1.0, ""capture"": 0.216, ""share"": 0.94, ""miss_deg"": 1.75, ""labels"": [323]}, {""name"": ""球L"", ""m"": 5.40217, ""q"": 0.0139, ""c"": 0.7477, ""capture"": 0.019, ""share"": 0.06, ""miss_deg"": 2.82, ""labels"": [320]}]"
2026_08_16/000,e1,v7,,noocc_ng,79.96,80.67,0.71,1.492,香蕉,323,0.95,0.3246,0.325,0.071,0.053,0.658,object#316,389.6407,1,1,6,球L,0,2,"[{""name"": ""香蕉"", ""m"": 126.47096, ""q"": 0.3246, ""c"": 1.0, ""capture"": 0.325, ""share"": 0.95, ""miss_deg"": 1.5, ""labels"": [323]}, {""name"": ""球L"", ""m"": 6.69041, ""q"": 0.0172, ""c"": 0.7477, ""capture"": 0.023, ""share"": 0.05, ""miss_deg"": 2.75, ""labels"": [320]}]"
