rec,card,era,flags,cfg,k,target,size,theta_unit,tier,occl,walking,stress,window_src,reliable,lcs,has_window,win_start_rel,win_end_rel,n_finals,n_obj_finals,n_acc,n_acc_e2,outcome_first,first_obj,first_lat_end,first_lat_start,first_lat_stare,first_share,first_capture,first_A,first_p_none,first_dur,outcome_any,any_correct,any_wrong,flip_wrong_then_correct,flip_correct_then_wrong,wrong_objs,first_e2,ungated_first,ungated_majority,ungated_majority_obj,ungated_majority_dur,gated_majority,gated_majority_obj,gated_majority_dur,best_target_capture,best_wrong_capture,best_target_share,best_wrong_share,dist_m
2026_08_16/s1,s1,v7,,cluster010,9,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,72.27,78.0,1,1,1,1,correct,球L,5.21,-1.23,2.78,1.0,0.614,0.0,0.569,6.45,correct_only,1,0,0,0,,correct,correct,correct,球L,6.45,correct,球L,6.45,0.614,,1.0,,1.57
2026_08_16/s1,s1,v7,,cluster010,10,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,79.16,84.98,2,2,2,2,correct,球M,4.03,-1.35,1.51,1.0,0.71,0.0,0.512,5.38,correct_only,1,0,0,0,,correct,correct,correct,球M,6.73,correct,球M,6.73,0.71,,1.0,,1.55
2026_08_16/s1,s1,v7,,cluster010,11,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,86.14,92.08,1,1,1,1,correct,球R,5.41,-1.04,2.77,1.0,0.493,0.0,0.732,6.45,correct_only,1,0,0,0,,correct,correct,correct,球R,6.45,correct,球R,6.45,0.493,,1.0,,1.6
2026_08_16/s1,s1,v7,,cluster010,12,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,93.24,99.18,2,2,2,2,correct,球M,4.42,-1.32,1.78,1.0,0.849,0.0,0.404,5.74,correct_only,1,0,0,0,,correct,correct,correct,球M,6.88,correct,球M,6.88,1.191,,1.0,,1.5
2026_08_16/s1,s1,v7,,cluster010,13,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,100.34,106.28,1,1,1,1,correct,球R,5.64,-1.08,3.0,1.0,0.997,0.0,0.457,6.72,correct_only,1,0,0,0,,correct,correct,correct,球R,6.72,correct,球R,6.72,0.997,,1.0,,1.61
2026_08_16/s1,s1,v7,,cluster010,14,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,107.44,113.4,1,1,1,1,correct,球R,5.77,-0.95,3.11,1.0,0.748,0.0,0.593,6.72,correct_only,1,0,0,0,,correct,correct,correct,球R,6.72,correct,球R,6.72,0.748,,1.0,,1.61
2026_08_16/s1,s1,v7,,cluster010,15,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,114.56,120.57,1,1,1,1,correct,球L,5.74,-0.97,3.03,1.0,0.521,0.0,0.634,6.72,correct_only,1,0,0,0,,correct,correct,correct,球L,6.72,correct,球L,6.72,0.521,,1.0,,1.59
2026_08_16/s2,s2,v7,,cluster010,1,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,18.18,23.88,1,1,1,1,correct,球M,5.74,-0.64,3.34,1.0,1.025,0.0,0.619,6.38,correct_only,1,0,0,0,,correct,correct,correct,球M,6.38,correct,球M,6.38,1.025,,1.0,,2.35
2026_08_16/s2,s2,v7,,cluster010,2,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,25.04,30.76,1,1,1,1,correct,球R,5.47,-0.87,3.05,0.994,0.543,0.004,0.852,6.34,correct_only,1,0,0,0,,correct,correct,correct,球R,6.34,correct,球R,6.34,0.543,,0.994,,2.48
2026_08_16/s2,s2,v7,,cluster010,3,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,31.92,37.72,1,1,1,1,correct,球M,5.73,-1.09,3.23,1.0,1.238,0.0,0.54,6.82,correct_only,1,0,0,0,,correct,correct,correct,球M,6.82,correct,球M,6.82,1.238,,1.0,,2.4
