rec,card,era,flags,cfg,k,target,size,theta_unit,tier,occl,walking,stress,window_src,reliable,lcs,has_window,win_start_rel,win_end_rel,n_finals,n_obj_finals,n_acc,n_acc_e2,outcome_first,first_obj,first_lat_end,first_lat_start,first_lat_stare,first_share,first_capture,first_A,first_p_none,first_dur,outcome_any,any_correct,any_wrong,flip_wrong_then_correct,flip_correct_then_wrong,wrong_objs,first_e2,ungated_first,ungated_majority,best_target_capture,best_wrong_capture,best_target_share,best_wrong_share,dist_m
2026_08_16/s2,s2,v7,,sphere10,9,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,73.6,79.28,1,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,0.876,,2.55
2026_08_16/s2,s2,v7,,sphere10,10,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,80.44,86.23,3,3,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,0.92,,2.52
2026_08_16/s2,s2,v7,,sphere10,11,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,87.39,93.38,5,5,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,1.0,,2.39
2026_08_16/s2,s2,v7,,sphere10,12,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,hit,1,94.54,100.51,3,3,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,0.741,,2.47
2026_08_16/s2,s2,v7,,sphere10,13,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,101.67,107.63,3,3,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,1.0,,2.4
2026_08_16/s2,s2,v7,,sphere10,14,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,hit,1,108.79,114.8,3,3,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,0.0,0.775,0.354,2.47
2026_08_16/s2,s2,v7,,sphere10,15,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,hit,1,115.96,121.97,3,3,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,0.0,0.813,0.574,2.46
2026_08_16/s3,s3,v7,,sphere10,1,球M,ball(3cm),3.19,≥2.5°,clear,0,0,schedule,1,hit,1,18.24,23.94,4,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,1.0,,3.4
2026_08_16/s3,s3,v7,,sphere10,2,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,hit,1,25.1,30.88,2,2,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,0.74,,3.35
2026_08_16/s3,s3,v7,,sphere10,3,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,hit,1,32.04,37.86,2,2,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,0.87,,3.35
2026_08_16/s3,s3,v7,,sphere10,4,球M,ball(3cm),3.19,≥2.5°,clear,0,0,schedule,1,hit,1,39.02,44.84,4,2,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,0.957,,3.37
2026_08_16/s3,s3,v7,,sphere10,5,球R,ball(3cm),1.53,1.0–2.5°,clear,0,0,schedule,1,hit,1,46.0,51.67,1,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,1.0,,3.4
2026_08_16/s3,s3,v7,,sphere10,6,球R,ball(3cm),1.53,1.0–2.5°,clear,0,0,schedule,1,hit,1,52.83,58.53,1,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,0.994,,3.39
2026_08_16/s3,s3,v7,,sphere10,7,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,hit,1,59.69,65.49,4,4,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,0.0,0.771,0.432,3.34
2026_08_16/s3,s3,v7,,sphere10,8,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,hit,1,66.69,72.43,1,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,0.806,,3.35
2026_08_16/s3,s3,v7,,sphere10,9,球M,ball(3cm),3.19,≥2.5°,clear,0,0,schedule,1,hit,1,73.59,79.32,3,3,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,1.0,,3.4
2026_08_16/s3,s3,v7,,sphere10,10,球R,ball(3cm),1.53,1.0–2.5°,clear,0,0,schedule,1,hit,1,80.48,86.27,3,3,0,0,none,,,,,,,,,,none,0,0,0,0,,none,wrong,wrong,0.0,0.0,0.729,0.766,3.4
2026_08_16/s3,s3,v7,,sphere10,11,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,hit,1,87.43,93.42,2,2,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,0.703,,3.35
2026_08_16/s3,s3,v7,,sphere10,12,球M,ball(3cm),3.19,≥2.5°,clear,0,0,schedule,1,hit,1,94.58,100.52,2,0,0,0,none,,,,,,,,,,none,0,0,0,0,,none,none,none,,,,,
2026_08_16/s3,s3,v7,,sphere10,13,球R,ball(3cm),1.53,1.0–2.5°,clear,0,0,schedule,1,hit,1,101.68,107.62,2,2,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,1.0,,3.38
2026_08_16/s3,s3,v7,,sphere10,14,球M,ball(3cm),3.19,≥2.5°,clear,0,0,schedule,1,hit,1,108.78,114.79,3,2,0,0,none,,,,,,,,,,none,0,0,0,0,,none,wrong,correct,0.0,0.0,1.0,0.614,3.37
2026_08_16/s3,s3,v7,,sphere10,15,球R,ball(3cm),1.53,1.0–2.5°,clear,0,0,schedule,1,hit,1,115.95,121.92,1,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,0.918,,3.38
2026_08_16/s4,s4,v8,,sphere10,1,球L,ball(3cm),1.67,1.0–2.5°,clear,0,0,schedule,1,hit,1,15.68,21.4,2,2,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,1.0,,3.81
2026_08_16/s4,s4,v8,,sphere10,2,球L,ball(3cm),1.67,1.0–2.5°,clear,0,0,schedule,1,hit,1,22.56,28.34,2,2,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,1.0,,3.83
2026_08_16/s4,s4,v8,,sphere10,3,球M,ball(3cm),2.82,≥2.5°,clear,0,0,schedule,1,miss,1,29.5,35.29,6,5,0,0,none,,,,,,,,,,none,0,0,0,0,,none,wrong,wrong,0.0,0.0,0.996,1.0,3.8
2026_08_16/s4,s4,v8,,sphere10,4,球R,ball(3cm),1.28,1.0–2.5°,clear,0,0,schedule,1,hit,1,36.45,42.22,5,3,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,1.0,,3.81
2026_08_16/s4,s4,v8,,sphere10,5,球R,ball(3cm),1.28,1.0–2.5°,clear,0,0,schedule,1,hit,1,43.38,49.06,3,2,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,1.0,,3.84
2026_08_16/s4,s4,v8,,sphere10,6,球M,ball(3cm),2.82,≥2.5°,clear,0,0,schedule,1,hit,1,50.22,55.97,5,4,0,0,none,,,,,,,,,,none,0,0,0,0,,none,wrong,correct,0.0,0.0,0.925,1.0,3.87
2026_08_16/s4,s4,v8,,sphere10,7,球M,ball(3cm),2.82,≥2.5°,clear,0,0,schedule,1,hit,1,57.13,62.9,4,3,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,1.0,,3.86
2026_08_16/s4,s4,v8,,sphere10,8,球L,ball(3cm),1.67,1.0–2.5°,clear,0,0,schedule,1,hit,1,72.63,78.38,3,3,0,0,none,,,,,,,,,,none,0,0,0,0,,none,wrong,correct,0.0,0.0,0.829,1.0,3.79
2026_08_16/s4,s4,v8,,sphere10,9,球R,ball(3cm),1.28,1.0–2.5°,clear,0,0,schedule,1,hit,1,79.54,85.21,4,4,0,0,none,,,,,,,,,,none,0,0,0,0,,none,wrong,correct,0.0,0.0,1.0,0.99,3.79
2026_08_16/s4,s4,v8,,sphere10,10,球M,ball(3cm),2.82,≥2.5°,clear,0,0,schedule,1,miss,1,86.37,92.19,3,3,0,0,none,,,,,,,,,,none,0,0,0,0,,none,wrong,wrong,,0.0,,1.0,3.81
2026_08_16/s4,s4,v8,,sphere10,11,球R,ball(3cm),1.28,1.0–2.5°,clear,0,0,schedule,1,hit,1,93.35,99.29,3,3,0,0,none,,,,,,,,,,none,0,0,0,0,,none,wrong,correct,0.0,0.0,1.0,0.499,3.8
2026_08_16/s4,s4,v8,,sphere10,12,球R,ball(3cm),1.28,1.0–2.5°,clear,0,0,schedule,1,hit,1,100.45,106.37,1,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,1.0,,3.91
2026_08_16/s4,s4,v8,,sphere10,13,球M,ball(3cm),2.82,≥2.5°,clear,0,0,schedule,1,hit,1,107.53,113.49,1,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,0.988,,3.81
2026_08_16/s4,s4,v8,,sphere10,14,球L,ball(3cm),1.67,1.0–2.5°,clear,0,0,schedule,1,hit,1,114.65,120.66,1,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,0.792,,3.77
2026_08_16/s4,s4,v8,,sphere10,15,球L,ball(3cm),1.67,1.0–2.5°,clear,0,0,schedule,1,hit,1,121.82,127.84,4,4,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,0.834,,3.77
2026_08_16/s6,s6,v8,,sphere10,1,球L,ball(3cm),0.56,<1.0°,clear,0,0,schedule,1,hit,1,21.14,26.87,2,2,0,0,none,,,,,,,,,,none,0,0,0,0,,none,wrong,wrong,0.0,0.0,0.382,0.528,4.43
2026_08_16/s6,s6,v8,,sphere10,2,球M,ball(3cm),1.79,1.0–2.5°,clear,0,0,schedule,1,hit,1,28.03,33.77,5,5,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,0.0,1.0,1.0,4.53
2026_08_16/s6,s6,v8,,sphere10,3,球R,ball(3cm),1.85,1.0–2.5°,clear,0,0,schedule,1,hit,1,34.93,40.68,2,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,1.0,,4.56
2026_08_16/s6,s6,v8,,sphere10,4,球R,ball(3cm),1.85,1.0–2.5°,clear,0,0,schedule,1,hit,1,41.84,47.61,3,3,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,1.0,,4.54
2026_08_16/s6,s6,v8,,sphere10,5,球M,ball(3cm),1.79,1.0–2.5°,clear,0,0,schedule,1,hit,1,48.77,54.47,2,2,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,1.0,,4.46
2026_08_16/s6,s6,v8,,sphere10,6,球R,ball(3cm),1.85,1.0–2.5°,clear,0,0,schedule,1,hit,1,55.63,61.33,2,2,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,0.0,1.0,0.742,4.54
2026_08_16/s6,s6,v8,,sphere10,7,球R,ball(3cm),1.85,1.0–2.5°,clear,0,0,schedule,1,hit,1,62.49,68.22,2,2,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,1.0,,4.6
2026_08_16/s6,s6,v8,,sphere10,8,球M,ball(3cm),1.79,1.0–2.5°,clear,0,0,schedule,1,hit,1,77.95,83.67,1,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,0.986,,4.55
2026_08_16/s6,s6,v8,,sphere10,9,球L,ball(3cm),0.56,<1.0°,clear,0,0,schedule,1,hit,1,84.83,90.55,2,2,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,0.0,0.505,0.516,4.45
2026_08_16/s6,s6,v8,,sphere10,10,球M,ball(3cm),1.79,1.0–2.5°,clear,0,0,schedule,1,hit,1,91.71,97.53,2,2,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,0.649,,4.51
