rec,k,target,tier,occl,flags,theta_unit,dist_m,reliable,ours_first,ours_obj,ours_cap,ours_share,ours_A,ours_any,ours_lcs,noocc_ng_first,noocc_ng_obj,noocc_ng_cap,noocc_ng_share,noocc_ng_A,noocc_ng_any,noocc_ng_lcs,ours_best_target_cap,noocc_ng_best_target_cap,ours_best_wrong_cap,noocc_ng_best_wrong_cap
2026_08_16/s2,8,球L,≥2.5°,clear,,2.85,2.47,1,correct,球L,0.774,0.807,0.071,correct_only,hit,correct,球L,1.058,0.853,0.053,correct_only,hit,0.774,1.058,,
2026_08_16/s2,9,球R,≥2.5°,clear,,2.55,2.55,1,correct,球R,0.806,0.993,0.005,correct_only,hit,correct,球R,1.028,0.991,0.007,correct_only,hit,0.806,1.028,,
2026_08_16/s2,10,球R,≥2.5°,clear,,2.55,2.52,1,correct,球R,1.083,0.907,0.078,correct_only,hit,correct,球R,1.289,0.911,0.074,correct_only,hit,1.113,1.301,,
2026_08_16/s2,11,球M,≥2.5°,clear,,4.47,2.39,1,correct,球M,1.286,1.0,0.0,correct_only,hit,correct,球M,1.246,1.0,0.0,correct_only,hit,1.381,1.306,,
2026_08_16/s2,12,球L,≥2.5°,clear,,2.85,2.47,1,correct,球L,0.673,0.861,0.065,correct_only,hit,correct,球L,1.113,0.916,0.037,correct_only,hit,0.673,1.113,,
2026_08_16/s2,13,球M,≥2.5°,clear,,4.47,2.4,1,correct,球M,0.972,1.0,0.0,correct_only,hit,correct,球M,0.96,1.0,0.0,correct_only,hit,1.41,1.308,,
2026_08_16/s2,14,球L,≥2.5°,clear,,2.85,2.47,1,correct,球L,0.65,0.656,0.182,correct_only,hit,correct,球L,0.888,0.726,0.123,correct_only,hit,0.732,1.099,0.177,0.187
2026_08_16/s2,15,球L,≥2.5°,clear,,2.85,2.46,1,correct,球L,0.791,0.753,0.096,correct_only,hit,correct,球L,1.031,0.793,0.079,correct_only,hit,0.791,1.058,0.111,0.086
2026_08_16/s3,1,球M,≥2.5°,clear,,3.19,3.45,1,none,,,,,none,hit,none,,,,,none,hit,0.15,0.067,,
2026_08_16/s3,2,球L,1.0–2.5°,clear,,2.0,3.35,1,none,,,,,none,hit,correct,球L,0.53,0.972,0.009,correct_only,hit,0.147,0.53,,
2026_08_16/s3,3,球L,1.0–2.5°,clear,,2.0,3.35,1,none,,,,,none,hit,correct,球L,0.538,1.0,0.0,correct_only,hit,0.19,0.538,,
2026_08_16/s3,4,球M,≥2.5°,clear,,3.19,3.91,1,correct,球M,0.924,0.99,0.003,correct_only,hit,correct,球M,0.683,0.972,0.009,correct_only,hit,1.174,0.95,,
