rec,card,era,flags,cfg,k,target,size,theta_unit,tier,occl,walking,stress,window_src,reliable,lcs,has_window,win_start_rel,win_end_rel,n_finals,n_obj_finals,n_acc,n_acc_e2,outcome_first,first_obj,first_lat_end,first_lat_start,first_lat_stare,first_share,first_capture,first_A,first_p_none,first_dur,outcome_any,any_correct,any_wrong,flip_wrong_then_correct,flip_correct_then_wrong,wrong_objs,first_e2,ungated_first,ungated_majority,ungated_majority_obj,ungated_majority_dur,gated_majority,gated_majority_obj,gated_majority_dur,best_target_capture,best_wrong_capture,best_target_share,best_wrong_share,dist_m
2026_08_16/s1,s1,v7,,v1_cluster0,8,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,65.37,71.11,2,2,2,2,correct,球L,3.6,-1.54,1.16,0.89,,,0.431,5.15,correct_only,1,0,0,0,,correct,correct,correct,球L,6.73,correct,球L,6.73,0.0,,0.89,,1.56
2026_08_16/s1,s1,v7,,v1_cluster0,9,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,72.27,78.0,1,1,1,1,correct,球L,5.21,-1.23,2.78,0.883,,,0.521,6.45,correct_only,1,0,0,0,,correct,correct,correct,球L,6.45,correct,球L,6.45,0.0,,0.883,,1.57
2026_08_16/s1,s1,v7,,v1_cluster0,10,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,79.16,84.98,2,2,2,2,correct,球M,4.03,-1.35,1.51,0.999,,,0.408,5.38,correct_only,1,0,0,0,,correct,correct,correct,球M,6.73,correct,球M,6.73,0.0,,0.999,,1.55
2026_08_16/s1,s1,v7,,v1_cluster0,11,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,86.14,92.08,1,1,1,1,correct,球R,5.41,-1.04,2.77,0.983,,,0.457,6.45,correct_only,1,0,0,0,,correct,correct,correct,球R,6.45,correct,球R,6.45,0.0,,0.983,,1.6
2026_08_16/s1,s1,v7,,v1_cluster0,12,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,93.24,99.18,2,2,2,2,correct,球M,4.42,-1.32,1.78,1.0,,,0.323,5.74,correct_only,1,0,0,0,,correct,correct,correct,球M,6.88,correct,球M,6.88,0.0,,1.0,,1.5
2026_08_16/s1,s1,v7,,v1_cluster0,13,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,100.34,106.28,1,1,1,1,correct,球R,5.64,-1.08,3.0,0.968,,,0.377,6.72,correct_only,1,0,0,0,,correct,correct,correct,球R,6.72,correct,球R,6.72,0.0,,0.968,,1.61
2026_08_16/s1,s1,v7,,v1_cluster0,14,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,107.44,113.4,1,1,1,1,correct,球R,5.77,-0.95,3.11,0.936,,,0.426,6.72,correct_only,1,0,0,0,,correct,correct,correct,球R,6.72,correct,球R,6.72,0.0,,0.936,,1.61
2026_08_16/s1,s1,v7,,v1_cluster0,15,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,114.56,120.57,1,1,1,1,correct,球L,5.74,-0.97,3.03,0.873,,,0.557,6.72,correct_only,1,0,0,0,,correct,correct,correct,球L,6.72,correct,球L,6.72,0.0,,0.873,,1.59
2026_08_16/s2,s2,v7,,v1_cluster0,1,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,18.18,23.88,1,1,1,1,correct,球M,5.74,-0.64,3.34,0.996,,,0.584,6.38,correct_only,1,0,0,0,,correct,correct,correct,球M,6.38,correct,球M,6.38,0.0,,0.996,,2.35
2026_08_16/s2,s2,v7,,v1_cluster0,2,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,25.04,30.76,1,1,1,1,correct,球R,5.47,-0.87,3.05,0.89,,,0.662,6.34,correct_only,1,0,0,0,,correct,correct,correct,球R,6.34,correct,球R,6.34,0.0,,0.89,,2.48
