rec,card,era,flags,cfg,t_start_rel,t_end_rel,dur_s,dist_m,object,object_label,share,q,capture,A_cap,A_share,p_none,surface,W,acc_live,acc_e2,window_k,target,correct,n_cands,candidates
2026_08_16/000,e1,v7,,s02,79.58,79.85,0.27,1.492,香蕉,323,1.0,0.392,0.392,0.0,0.0,0.608,object#316,,1,1,6,球L,0,1,"[{""name"": ""香蕉"", ""share"": 1.0, ""q"": 0.392, ""capture"": 0.392, ""miss_deg"": 0.27, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,s02,79.96,80.67,0.71,1.492,香蕉,323,1.0,0.896,0.896,0.0,0.0,0.104,object#316,,1,1,6,球L,0,1,"[{""name"": ""香蕉"", ""share"": 1.0, ""q"": 0.896, ""capture"": 0.896, ""miss_deg"": 0.09, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,s02,80.73,81.25,0.52,1.436,球L,320,1.0,0.384,0.384,0.0,0.0,0.616,object#316,,1,1,,,,1,"[{""name"": ""球L"", ""share"": 1.0, ""q"": 0.384, ""capture"": 0.384, ""miss_deg"": 0.28, ""labels"": [320]}]"
2026_08_16/000,e1,v7,,s02,81.3,81.8,0.5,1.483,香蕉,323,1.0,1.0,1.0,0.0,0.0,0.0,,,1,1,,,,1,"[{""name"": ""香蕉"", ""share"": 1.0, ""q"": 1.0, ""capture"": 1.0, ""miss_deg"": 0.01, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,s02,82.49,82.87,0.38,1.386,球M,321,1.0,1.0,1.0,0.0,0.0,0.0,,,1,1,,,,1,"[{""name"": ""球M"", ""share"": 1.0, ""q"": 1.0, ""capture"": 1.0, ""miss_deg"": 0.0, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,s02,82.92,83.52,0.6,1.458,球M,321,1.0,0.001,0.001,0.0,0.0,0.999,object#10,,0,0,7,球M,1,1,"[{""name"": ""球M"", ""share"": 1.0, ""q"": 0.001, ""capture"": 0.001, ""miss_deg"": 0.73, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,s02,83.58,84.54,0.96,1.431,球M,321,1.0,0.403,0.403,0.0,0.0,0.597,object#317,,1,1,7,球M,1,1,"[{""name"": ""球M"", ""share"": 1.0, ""q"": 0.403, ""capture"": 0.403, ""miss_deg"": 0.27, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,s02,84.6,85.03,0.44,1.481,球M,321,1.0,0.148,0.148,0.0,0.0,0.852,object#317,,0,0,7,球M,1,1,"[{""name"": ""球M"", ""share"": 1.0, ""q"": 0.148, ""capture"": 0.148, ""miss_deg"": 0.39, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,s02,85.09,85.81,0.72,1.422,球M,321,1.0,0.483,0.483,0.0,0.0,0.517,object#317,,1,1,7,球M,1,1,"[{""name"": ""球M"", ""share"": 1.0, ""q"": 0.483, ""capture"": 0.483, ""miss_deg"": 0.24, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,s02,85.86,87.23,1.37,1.488,,-1,0.0,0.0,,,,1.0,object#10,,0,0,7,球M,,0,[]
2026_08_16/000,e1,v7,,s02,87.29,87.79,0.5,1.42,球M,321,1.0,0.703,0.703,0.0,0.0,0.297,object#17,,1,1,7,球M,1,1,"[{""name"": ""球M"", ""share"": 1.0, ""q"": 0.703, ""capture"": 0.703, ""miss_deg"": 0.17, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,s02,87.84,88.28,0.44,1.472,球M,321,1.0,0.136,0.136,0.0,0.0,0.864,object#17,,0,0,7,球M,1,1,"[{""name"": ""球M"", ""share"": 1.0, ""q"": 0.136, ""capture"": 0.136, ""miss_deg"": 0.4, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,s02,89.27,91.31,2.04,1.664,石榴,78,1.0,0.078,0.078,0.0,0.0,0.922,object#17,,0,0,,,,1,"[{""name"": ""石榴"", ""share"": 1.0, ""q"": 0.078, ""capture"": 0.078, ""miss_deg"": 0.45, ""labels"": [78]}]"
2026_08_16/000,e1,v7,,s02,91.43,94.96,3.53,1.652,石榴,78,1.0,0.002,0.002,0.0,0.0,0.998,object#17,,0,0,8,石榴,1,1,"[{""name"": ""石榴"", ""share"": 1.0, ""q"": 0.002, ""capture"": 0.002, ""miss_deg"": 0.7, ""labels"": [78]}]"
2026_08_16/000,e1,v7,,s02,95.48,96.04,0.56,1.494,香蕉,323,1.0,1.0,1.0,0.0,0.0,0.0,,,1,1,,,,1,"[{""name"": ""香蕉"", ""share"": 1.0, ""q"": 1.0, ""capture"": 1.0, ""miss_deg"": 0.01, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,s02,96.09,96.77,0.68,1.574,香蕉,323,1.0,0.01,0.01,0.0,0.0,0.99,object#316,,0,0,,,,1,"[{""name"": ""香蕉"", ""share"": 1.0, ""q"": 0.01, ""capture"": 0.01, ""miss_deg"": 0.61, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,s02,96.92,98.03,1.1,1.572,香蕉,323,1.0,0.082,0.082,0.0,0.0,0.918,object#316,,0,0,9,香蕉,1,1,"[{""name"": ""香蕉"", ""share"": 1.0, ""q"": 0.082, ""capture"": 0.082, ""miss_deg"": 0.45, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,s02,98.42,99.43,1.01,1.597,香蕉,323,1.0,0.586,0.586,0.0,0.0,0.414,object#316,,1,1,9,香蕉,1,1,"[{""name"": ""香蕉"", ""share"": 1.0, ""q"": 0.586, ""capture"": 0.586, ""miss_deg"": 0.21, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,s02,99.79,100.65,0.87,1.608,香蕉,323,1.0,0.707,0.707,0.0,0.0,0.293,object#316,,1,1,9,香蕉,1,1,"[{""name"": ""香蕉"", ""share"": 1.0, ""q"": 0.707, ""capture"": 0.707, ""miss_deg"": 0.17, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,s02,101.26,101.76,0.5,1.649,,-1,0.0,0.0,,,,1.0,object#10,,0,0,9,香蕉,,0,[]
2026_08_16/000,e1,v7,,s02,102.44,105.28,2.83,1.453,球L,320,1.0,0.112,0.112,0.0,0.0,0.888,object#316,,0,0,,,,1,"[{""name"": ""球L"", ""share"": 1.0, ""q"": 0.112, ""capture"": 0.112, ""miss_deg"": 0.42, ""labels"": [320]}]"
2026_08_16/000,e1,v7,,s02,105.38,108.98,3.6,1.487,香蕉,323,1.0,0.003,0.003,0.0,0.0,0.997,object#316,,0,0,10,球L,0,1,"[{""name"": ""香蕉"", ""share"": 1.0, ""q"": 0.003, ""capture"": 0.003, ""miss_deg"": 0.69, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,s02,109.36,111.89,2.53,1.65,,-1,0.0,0.0,,,,1.0,object#319,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,s02,112.0,112.83,0.83,1.654,,-1,0.0,0.0,,,,1.0,object#319,,0,0,11,苹果,,0,[]
2026_08_16/000,e1,v7,,s02,113.15,114.45,1.3,1.663,,-1,0.0,0.0,,,,1.0,object#319,,0,0,11,苹果,,0,[]
2026_08_16/000,e1,v7,,s02,114.56,114.84,0.28,1.664,,-1,0.0,0.0,,,,1.0,object#319,,0,0,11,苹果,,0,[]
2026_08_16/000,e1,v7,,s02,114.94,116.34,1.4,1.666,,-1,0.0,0.0,,,,1.0,object#10,,0,0,11,苹果,,0,[]
2026_08_16/000,e1,v7,,s02,116.39,116.71,0.32,1.557,,-1,0.0,0.0,,,,1.0,object#17,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,s02,127.5,127.78,0.27,1.096,,-1,0.0,0.0,,,,1.0,object#59,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,s02,128.06,128.34,0.28,1.205,,-1,0.0,0.0,,,,1.0,object#67,,0,0,,,,0,[]
2026_08_16/001,e2,v7,stress,s02,8.06,8.71,0.65,2.539,,-1,0.0,0.0,,,,1.0,floor,,0,0,,,,0,[]
2026_08_16/001,e2,v7,stress,s02,8.88,9.2,0.32,2.76,,-1,0.0,0.0,,,,1.0,floor,,0,0,,,,0,[]
2026_08_16/001,e2,v7,stress,s02,9.25,9.69,0.43,3.059,,-1,0.0,0.0,,,,1.0,floor,,0,0,,,,0,[]
2026_08_16/001,e2,v7,stress,s02,10.59,10.86,0.27,2.847,,-1,0.0,0.0,,,,1.0,object#179,,0,0,,,,0,[]
2026_08_16/001,e2,v7,stress,s02,10.91,11.29,0.38,3.104,,-1,0.0,0.0,,,,1.0,object#140,,0,0,,,,0,[]
2026_08_16/001,e2,v7,stress,s02,11.4,11.94,0.54,3.057,,-1,0.0,0.0,,,,1.0,object#46,,0,0,,,,0,[]
2026_08_16/001,e2,v7,stress,s02,12.59,15.9,3.3,3.175,,-1,0.0,0.0,,,,1.0,object#10,,0,0,,,,0,[]
2026_08_16/001,e2,v7,stress,s02,16.18,18.34,2.17,3.164,,-1,0.0,0.0,,,,1.0,object#10,,0,0,1,球L,,0,[]
2026_08_16/001,e2,v7,stress,s02,18.72,19.1,0.38,3.171,,-1,0.0,0.0,,,,1.0,object#46,,0,0,1,球L,,0,[]
2026_08_16/001,e2,v7,stress,s02,19.64,20.4,0.76,3.193,,-1,0.0,0.0,,,,1.0,object#305,,0,0,,,,0,[]
2026_08_16/001,e2,v7,stress,s02,20.85,21.83,0.97,3.2,,-1,0.0,0.0,,,,1.0,object#130,,0,0,,,,0,[]
