rec,card,era,flags,cfg,t_start_rel,t_end_rel,dur_s,dist_m,object,object_label,share,q,capture,A_cap,A_share,p_none,surface,W,acc_live,acc_e2,window_k,target,correct,n_cands,candidates
2026_08_20/000,c1,v9,,selfcal2,72.26,72.53,0.27,2.342,球R,263,0.259,0.166,1.135,0.656,1.351,0.36,object#12,,0,0,,,,3,"[{""name"": ""球R"", ""share"": 0.259, ""q"": 0.166, ""capture"": 1.135, ""miss_deg"": 0.0, ""labels"": [263]}, {""name"": ""白杯1"", ""share"": 0.35, ""q"": 0.224, ""capture"": 0.745, ""miss_deg"": 1.15, ""labels"": [266]}, {""name"": ""红杯"", ""share"": 0.227, ""q"": 0.145, ""capture"": 0.328, ""miss_deg"": 2.24, ""labels"": [49]}]"
2026_08_20/000,c1,v9,,selfcal2,73.62,74.59,0.97,2.243,球L,259,0.426,0.216,1.32,0.52,0.655,0.493,物品台,,1,0,8,苹果红,0,3,"[{""name"": ""球L"", ""share"": 0.426, ""q"": 0.216, ""capture"": 1.32, ""miss_deg"": 0.0, ""labels"": [259]}, {""name"": ""苹果红"", ""share"": 0.279, ""q"": 0.142, ""capture"": 0.686, ""miss_deg"": 1.3, ""labels"": [260]}, {""name"": ""球M"", ""share"": 0.036, ""q"": 0.018, ""capture"": 0.127, ""miss_deg"": 3.05, ""labels"": [261]}]"
2026_08_20/000,c1,v9,,selfcal2,74.65,76.0,1.35,2.27,球L,259,0.274,0.162,1.11,0.904,1.277,0.409,物品台,,0,0,8,苹果红,0,3,"[{""name"": ""球L"", ""share"": 0.274, ""q"": 0.162, ""capture"": 1.11, ""miss_deg"": 0.0, ""labels"": [259]}, {""name"": ""苹果红"", ""share"": 0.35, ""q"": 0.207, ""capture"": 1.003, ""miss_deg"": 0.0, ""labels"": [260]}, {""name"": ""水瓶"", ""share"": 0.177, ""q"": 0.105, ""capture"": 0.149, ""miss_deg"": 2.93, ""labels"": [30]}]"
2026_08_20/000,c1,v9,,selfcal2,76.06,76.76,0.7,2.273,球L,259,0.365,0.207,1.415,0.594,0.841,0.435,物品台,,0,0,8,苹果红,0,3,"[{""name"": ""球L"", ""share"": 0.365, ""q"": 0.207, ""capture"": 1.415, ""miss_deg"": 0.0, ""labels"": [259]}, {""name"": ""苹果红"", ""share"": 0.307, ""q"": 0.173, ""capture"": 0.84, ""miss_deg"": 0.89, ""labels"": [260]}, {""name"": ""苹果粉"", ""share"": 0.121, ""q"": 0.069, ""capture"": 0.253, ""miss_deg"": 2.49, ""labels"": [64, 250]}]"
2026_08_20/000,c1,v9,,selfcal2,76.81,77.08,0.27,2.299,球M,261,0.33,0.167,1.145,0.24,0.494,0.494,物品台,,0,0,8,苹果红,0,3,"[{""name"": ""球M"", ""share"": 0.33, ""q"": 0.167, ""capture"": 1.145, ""miss_deg"": 0.0, ""labels"": [261]}, {""name"": ""白杯1"", ""share"": 0.163, ""q"": 0.083, ""capture"": 0.275, ""miss_deg"": 2.41, ""labels"": [266]}, {""name"": ""水瓶"", ""share"": 0.31, ""q"": 0.157, ""capture"": 0.228, ""miss_deg"": 2.58, ""labels"": [30]}]"
2026_08_20/000,c1,v9,,selfcal2,77.25,79.79,2.55,2.249,苹果红,260,0.271,0.161,0.782,0.994,0.79,0.405,物品台,,0,0,8,苹果红,1,3,"[{""name"": ""苹果红"", ""share"": 0.271, ""q"": 0.161, ""capture"": 0.782, ""miss_deg"": 1.05, ""labels"": [260]}, {""name"": ""球L"", ""share"": 0.214, ""q"": 0.127, ""capture"": 0.777, ""miss_deg"": 1.06, ""labels"": [259]}, {""name"": ""球M"", ""share"": 0.112, ""q"": 0.066, ""capture"": 0.455, ""miss_deg"": 1.88, ""labels"": [261]}]"
2026_08_20/000,c1,v9,,selfcal2,79.85,80.12,0.27,2.289,球M,261,0.382,0.163,1.119,0.19,0.393,0.573,物品台,,1,0,,,,3,"[{""name"": ""球M"", ""share"": 0.382, ""q"": 0.163, ""capture"": 1.119, ""miss_deg"": 0.0, ""labels"": [261]}, {""name"": ""白杯1"", ""share"": 0.15, ""q"": 0.064, ""capture"": 0.213, ""miss_deg"": 2.64, ""labels"": [266]}, {""name"": ""水瓶"", ""share"": 0.278, ""q"": 0.119, ""capture"": 0.173, ""miss_deg"": 2.81, ""labels"": [30]}]"
2026_08_20/000,c1,v9,,selfcal2,80.36,80.9,0.54,2.156,球M,261,0.769,0.101,0.618,0.052,0.052,0.869,物品台,,1,1,9,球M,1,3,"[{""name"": ""球M"", ""share"": 0.769, ""q"": 0.101, ""capture"": 0.618, ""miss_deg"": 1.47, ""labels"": [261]}, {""name"": ""球L"", ""share"": 0.04, ""q"": 0.005, ""capture"": 0.032, ""miss_deg"": 3.93, ""labels"": [259]}, {""name"": ""水瓶"", ""share"": 0.172, ""q"": 0.023, ""capture"": 0.03, ""miss_deg"": 3.97, ""labels"": [30]}]"
2026_08_20/000,c1,v9,,selfcal2,80.96,81.83,0.87,2.264,球M,261,0.423,0.179,1.23,0.168,0.811,0.576,物品台,,0,0,9,球M,1,3,"[{""name"": ""球M"", ""share"": 0.423, ""q"": 0.179, ""capture"": 1.23, ""miss_deg"": 0.0, ""labels"": [261]}, {""name"": ""水瓶"", ""share"": 0.343, ""q"": 0.145, ""capture"": 0.207, ""miss_deg"": 2.66, ""labels"": [30]}, {""name"": ""球L"", ""share"": 0.073, ""q"": 0.031, ""capture"": 0.19, ""miss_deg"": 2.74, ""labels"": [259]}]"
2026_08_20/000,c1,v9,,selfcal2,82.37,82.69,0.32,2.263,球M,261,0.304,0.182,1.249,0.307,1.477,0.4,物品台,,0,0,9,球M,1,3,"[{""name"": ""球M"", ""share"": 0.304, ""q"": 0.182, ""capture"": 1.249, ""miss_deg"": 0.0, ""labels"": [261]}, {""name"": ""水瓶"", ""share"": 0.449, ""q"": 0.27, ""capture"": 0.384, ""miss_deg"": 2.08, ""labels"": [30]}, {""name"": ""白杯1"", ""share"": 0.071, ""q"": 0.043, ""capture"": 0.142, ""miss_deg"": 2.97, ""labels"": [266]}]"
