rec,card,era,flags,cfg,t_start_rel,t_end_rel,dur_s,dist_m,object,object_label,share,q,capture,A_cap,A_share,p_none,surface,W,acc_live,acc_e2,window_k,target,correct,n_cands,candidates
2026_08_16/000,e1,v7,,cluster010,109.36,111.89,2.53,1.65,苹果,300,0.941,0.234,0.333,0.045,0.063,0.752,object#10,,1,1,,,,2,"[{""name"": ""苹果"", ""share"": 0.941, ""q"": 0.234, ""capture"": 0.333, ""miss_deg"": 1.48, ""labels"": [300]}, {""name"": ""香蕉"", ""share"": 0.059, ""q"": 0.015, ""capture"": 0.015, ""miss_deg"": 2.9, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,cluster010,111.94,112.89,0.94,1.654,苹果,300,0.98,0.268,0.381,0.013,0.02,0.727,object#10,,1,1,11,苹果,1,2,"[{""name"": ""苹果"", ""share"": 0.98, ""q"": 0.268, ""capture"": 0.381, ""miss_deg"": 1.39, ""labels"": [300]}, {""name"": ""香蕉"", ""share"": 0.02, ""q"": 0.005, ""capture"": 0.005, ""miss_deg"": 3.23, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,cluster010,112.99,114.45,1.46,1.662,苹果,300,1.0,0.108,0.154,0.0,0.0,0.892,object#10,,0,0,11,苹果,1,1,"[{""name"": ""苹果"", ""share"": 1.0, ""q"": 0.108, ""capture"": 0.154, ""miss_deg"": 1.93, ""labels"": [300]}]"
2026_08_16/000,e1,v7,,cluster010,114.56,114.84,0.28,1.664,苹果,300,0.962,0.158,0.225,0.027,0.04,0.836,object#10,,1,1,11,苹果,1,2,"[{""name"": ""苹果"", ""share"": 0.962, ""q"": 0.158, ""capture"": 0.225, ""miss_deg"": 1.73, ""labels"": [300]}, {""name"": ""香蕉"", ""share"": 0.038, ""q"": 0.006, ""capture"": 0.006, ""miss_deg"": 3.18, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,cluster010,114.94,116.34,1.4,1.666,苹果,300,0.924,0.132,0.188,0.059,0.082,0.857,object#10,,0,0,11,苹果,1,2,"[{""name"": ""苹果"", ""share"": 0.924, ""q"": 0.132, ""capture"": 0.188, ""miss_deg"": 1.83, ""labels"": [300]}, {""name"": ""香蕉"", ""share"": 0.076, ""q"": 0.011, ""capture"": 0.011, ""miss_deg"": 3.01, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,cluster010,116.39,116.71,0.32,1.557,球M,321,1.0,0.014,0.021,0.0,0.0,0.986,object#17,,0,0,,,,1,"[{""name"": ""球M"", ""share"": 1.0, ""q"": 0.014, ""capture"": 0.021, ""miss_deg"": 2.79, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,cluster010,116.77,117.04,0.27,1.491,香蕉,323,1.0,0.14,0.14,0.0,0.0,0.86,object#316,,0,0,,,,1,"[{""name"": ""香蕉"", ""share"": 1.0, ""q"": 0.14, ""capture"": 0.14, ""miss_deg"": 1.98, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,cluster010,117.61,123.42,5.81,1.473,球R,322,1.0,0.085,0.141,0.0,0.0,0.915,object#318,,0,0,12,球R,1,1,"[{""name"": ""球R"", ""share"": 1.0, ""q"": 0.085, ""capture"": 0.141, ""miss_deg"": 1.98, ""labels"": [322]}]"
2026_08_16/000,e1,v7,,cluster010,124.72,125.01,0.28,1.949,,-1,0.0,0.0,,,,1.0,object#20,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,cluster010,125.06,125.39,0.33,1.584,,-1,0.0,0.0,,,,1.0,object#20,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,cluster010,125.44,125.82,0.37,1.3,,-1,0.0,0.0,,,,1.0,object#20,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,cluster010,127.45,127.89,0.44,1.117,,-1,0.0,0.0,,,,1.0,object#59,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,cluster010,128.0,128.34,0.34,1.214,,-1,0.0,0.0,,,,1.0,object#67,,0,0,,,,0,[]
2026_08_16/001,e2,v7,stress,cluster010,3.02,3.34,0.32,2.4,,-1,0.0,0.0,,,,1.0,floor,,0,0,,,,0,[]
2026_08_16/001,e2,v7,stress,cluster010,7.85,9.25,1.41,2.597,,-1,0.0,0.0,,,,1.0,floor,,0,0,,,,0,[]
2026_08_16/001,e2,v7,stress,cluster010,9.31,9.69,0.38,3.071,,-1,0.0,0.0,,,,1.0,floor,,0,0,,,,0,[]
2026_08_16/001,e2,v7,stress,cluster010,10.37,10.86,0.49,2.827,,-1,0.0,0.0,,,,1.0,object#13,,0,0,,,,0,[]
2026_08_16/001,e2,v7,stress,cluster010,10.91,11.35,0.43,3.111,球M,321,1.0,0.038,0.165,0.0,0.0,0.962,object#179,,0,0,,,,1,"[{""name"": ""球M"", ""share"": 1.0, ""q"": 0.038, ""capture"": 0.165, ""miss_deg"": 1.9, ""labels"": [321]}]"
2026_08_16/001,e2,v7,stress,cluster010,11.4,11.94,0.54,3.057,,-1,0.0,0.0,,,,1.0,object#46,,0,0,,,,0,[]
2026_08_16/001,e2,v7,stress,cluster010,12.38,15.9,3.52,3.168,,-1,0.0,0.0,,,,1.0,object#10,,0,0,,,,0,[]
2026_08_16/001,e2,v7,stress,cluster010,16.18,18.34,2.17,3.164,球L,320,1.0,0.001,0.005,0.0,0.0,0.999,object#10,,0,0,1,球L,1,1,"[{""name"": ""球L"", ""share"": 1.0, ""q"": 0.001, ""capture"": 0.005, ""miss_deg"": 3.28, ""labels"": [320]}]"
2026_08_16/001,e2,v7,stress,cluster010,18.72,19.32,0.6,3.168,,-1,0.0,0.0,,,,1.0,object#46,,0,0,1,球L,,0,[]
2026_08_16/001,e2,v7,stress,cluster010,19.64,20.4,0.76,3.193,,-1,0.0,0.0,,,,1.0,object#305,,0,0,,,,0,[]
2026_08_16/001,e2,v7,stress,cluster010,20.63,22.48,1.85,3.202,,-1,0.0,0.0,,,,1.0,object#130,,0,0,,,,0,[]
2026_08_16/001,e2,v7,stress,cluster010,22.8,24.97,2.17,3.186,,-1,0.0,0.0,,,,1.0,object#130,,0,0,,,,0,[]
2026_08_16/001,e2,v7,stress,cluster010,25.14,26.17,1.03,3.192,,-1,0.0,0.0,,,,1.0,object#130,,0,0,,,,0,[]
2026_08_16/001,e2,v7,stress,cluster010,26.4,28.57,2.17,3.184,球L,320,0.838,0.102,0.415,0.065,0.193,0.878,object#316,,1,1,,,,2,"[{""name"": ""球L"", ""share"": 0.838, ""q"": 0.102, ""capture"": 0.415, ""miss_deg"": 1.33, ""labels"": [320]}, {""name"": ""香蕉"", ""share"": 0.162, ""q"": 0.02, ""capture"": 0.027, ""miss_deg"": 2.69, ""labels"": [323]}]"
2026_08_16/001,e2,v7,stress,cluster010,28.82,31.96,3.14,3.281,球L,320,0.827,0.077,0.332,0.069,0.209,0.907,object#316,,1,1,,,,2,"[{""name"": ""球L"", ""share"": 0.827, ""q"": 0.077, ""capture"": 0.332, ""miss_deg"": 1.49, ""labels"": [320]}, {""name"": ""香蕉"", ""share"": 0.173, ""q"": 0.016, ""capture"": 0.023, ""miss_deg"": 2.75, ""labels"": [323]}]"
2026_08_16/001,e2,v7,stress,cluster010,32.18,32.5,0.32,3.286,球L,320,0.714,0.122,0.528,0.119,0.367,0.829,object#316,,1,1,2,球R,0,3,"[{""name"": ""球L"", ""share"": 0.714, ""q"": 0.122, ""capture"": 0.528, ""miss_deg"": 1.13, ""labels"": [320]}, {""name"": ""香蕉"", ""share"": 0.262, ""q"": 0.045, ""capture"": 0.063, ""miss_deg"": 2.35, ""labels"": [323]}, {""name"": ""苹果"", ""share"": 0.024, ""q"": 0.004, ""capture"": 0.016, ""miss_deg"": 2.87, ""labels"": [300]}]"
2026_08_16/001,e2,v7,stress,cluster010,32.56,33.64,1.08,3.305,球R,322,0.887,0.102,0.624,0.093,0.127,0.885,object#318,,1,1,2,球R,1,2,"[{""name"": ""球R"", ""share"": 0.887, ""q"": 0.102, ""capture"": 0.624, ""miss_deg"": 0.97, ""labels"": [322]}, {""name"": ""石榴"", ""share"": 0.113, ""q"": 0.013, ""capture"": 0.058, ""miss_deg"": 2.38, ""labels"": [78]}]"
2026_08_16/001,e2,v7,stress,cluster010,33.8,34.24,0.43,3.327,球R,322,0.983,0.03,0.184,0.011,0.017,0.969,object#318,,0,0,2,球R,1,2,"[{""name"": ""球R"", ""share"": 0.983, ""q"": 0.03, ""capture"": 0.184, ""miss_deg"": 1.84, ""labels"": [322]}, {""name"": ""石榴"", ""share"": 0.017, ""q"": 0.001, ""capture"": 0.002, ""miss_deg"": 3.48, ""labels"": [78]}]"
2026_08_16/001,e2,v7,stress,cluster010,34.47,37.77,3.3,3.316,球R,322,0.885,0.055,0.338,0.095,0.13,0.938,object#318,,1,1,2,球R,1,2,"[{""name"": ""球R"", ""share"": 0.885, ""q"": 0.055, ""capture"": 0.338, ""miss_deg"": 1.47, ""labels"": [322]}, {""name"": ""石榴"", ""share"": 0.115, ""q"": 0.007, ""capture"": 0.032, ""miss_deg"": 2.62, ""labels"": [78]}]"
