rec,card,era,flags,cfg,k,target,size,theta_unit,tier,occl,walking,stress,window_src,reliable,lcs,has_window,win_start_rel,win_end_rel,n_finals,n_obj_finals,n_acc,n_acc_e2,outcome_first,first_obj,first_lat_end,first_lat_start,first_lat_stare,first_share,first_capture,first_A,first_p_none,first_dur,outcome_any,any_correct,any_wrong,flip_wrong_then_correct,flip_correct_then_wrong,wrong_objs,first_e2,ungated_first,ungated_majority,ungated_majority_obj,ungated_majority_dur,gated_majority,gated_majority_obj,gated_majority_dur,best_target_capture,best_wrong_capture,best_target_share,best_wrong_share,dist_m
2026_08_16/s2,s2,v7,,selfcal3,9,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,73.6,79.28,3,3,3,3,correct,球R,2.51,1.92,0.13,0.629,0.915,0.428,0.827,0.6,mixed,1,1,1,1,石榴,correct,correct,correct,球R,3.2,correct,球R,3.2,0.979,0.254,0.629,0.577,2.49
2026_08_16/s2,s2,v7,,selfcal3,10,球R,ball(3cm),2.55,≥2.5°,clear,0,0,schedule,1,hit,1,80.44,86.23,4,4,4,3,wrong,石榴,2.77,-0.37,0.28,0.589,0.87,0.833,0.758,3.14,mixed,1,1,1,1,石榴,wrong,wrong,wrong,石榴,3.74,wrong,石榴,3.74,0.591,1.141,0.506,0.661,2.47
2026_08_16/s2,s2,v7,,selfcal3,11,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,87.39,93.38,2,2,2,2,correct,球M,3.25,2.76,0.56,0.97,0.388,0.031,0.935,0.49,correct_only,1,0,0,0,,correct,correct,correct,球M,2.6,correct,球M,2.6,1.124,,1.0,,2.47
2026_08_16/s2,s2,v7,,selfcal3,12,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,hit,1,94.54,100.51,3,3,1,0,wrong,苹果,4.96,4.04,2.29,0.454,0.861,0.511,0.608,0.92,wrong_only,0,1,0,0,苹果,none,correct,correct,球L,4.56,wrong,苹果,0.92,0.593,0.861,0.348,0.454,2.45
2026_08_16/s2,s2,v7,,selfcal3,13,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,101.67,107.63,4,4,4,4,correct,球M,0.63,0.31,-2.03,0.939,1.211,0.017,0.789,0.32,correct_only,1,0,0,0,,correct,correct,correct,球M,5.15,correct,球M,5.15,1.211,,1.0,,2.48
2026_08_16/s2,s2,v7,,selfcal3,14,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,miss,1,108.79,114.8,3,3,2,0,wrong,苹果,4.47,0.78,1.76,0.46,0.853,0.477,0.617,3.68,wrong_only,0,1,0,0,苹果,none,wrong,wrong,苹果,4.98,wrong,苹果,4.55,,0.853,,0.46,2.46
2026_08_16/s2,s2,v7,,selfcal3,15,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,miss,1,115.96,121.97,3,3,2,1,wrong,苹果,2.75,1.51,0.04,0.507,0.874,0.494,0.644,1.25,wrong_only,0,1,0,0,苹果,wrong,wrong,wrong,苹果,2.55,wrong,苹果,2.55,,0.874,,0.507,2.48
2026_08_16/s3,s3,v7,,selfcal3,1,球M,ball(3cm),3.19,≥2.5°,clear,0,0,schedule,1,hit,1,18.24,23.94,3,3,3,3,correct,球M,2.43,1.08,0.03,1.0,0.396,0.0,0.964,1.35,correct_only,1,0,0,0,,correct,correct,correct,球M,4.5,correct,球M,4.5,0.477,,1.0,,3.41
2026_08_16/s3,s3,v7,,selfcal3,2,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,hit,1,25.1,30.88,2,2,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,球L,5.69,none,,,0.379,,0.412,,3.35
2026_08_16/s3,s3,v7,,selfcal3,3,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,hit,1,32.04,37.86,2,2,2,0,correct,球L,5.08,1.13,2.56,0.463,0.733,0.57,0.827,3.95,correct_only,1,0,0,0,,none,correct,correct,球L,4.55,correct,球L,4.55,0.733,,0.48,,3.34
2026_08_16/s3,s3,v7,,selfcal3,4,球M,ball(3cm),3.19,≥2.5°,clear,0,0,schedule,1,hit,1,39.02,44.84,1,1,1,1,correct,球M,5.73,1.83,3.21,0.93,1.99,0.017,0.805,3.9,correct_only,1,0,0,0,,correct,correct,correct,球M,3.9,correct,球M,3.9,1.99,,0.93,,3.37
2026_08_16/s3,s3,v7,,selfcal3,5,球R,ball(3cm),1.53,1.0–2.5°,clear,0,0,schedule,1,hit,1,46.0,51.67,2,2,1,0,correct,球R,3.65,-0.85,1.28,0.48,1.293,0.71,0.806,4.5,correct_only,1,0,0,0,,none,correct,correct,球R,6.01,correct,球R,4.5,1.293,,0.48,,3.37
2026_08_16/s3,s3,v7,,selfcal3,6,球R,ball(3cm),1.53,1.0–2.5°,clear,0,0,schedule,1,hit,1,52.83,58.53,1,1,1,0,correct,球R,5.63,-0.82,3.23,0.455,1.278,0.786,0.798,6.45,correct_only,1,0,0,0,,none,correct,correct,球R,6.45,correct,球R,6.45,1.278,,0.455,,3.37
2026_08_16/s3,s3,v7,,selfcal3,7,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,hit,1,59.69,65.49,4,4,2,0,wrong,苹果,4.92,4.37,2.42,0.441,0.919,0.716,0.753,0.54,wrong_only,0,1,0,0,苹果,none,wrong,wrong,苹果,2.87,wrong,苹果,1.19,,0.919,,0.451,3.27
