rec,card,era,flags,cfg,k,target,size,theta_unit,tier,occl,walking,stress,window_src,reliable,lcs,has_window,win_start_rel,win_end_rel,n_finals,n_obj_finals,n_acc,n_acc_e2,outcome_first,first_obj,first_lat_end,first_lat_start,first_lat_stare,first_share,first_capture,first_A,first_p_none,first_dur,outcome_any,any_correct,any_wrong,flip_wrong_then_correct,flip_correct_then_wrong,wrong_objs,first_e2,ungated_first,ungated_majority,best_target_capture,best_wrong_capture,best_target_share,best_wrong_share,dist_m
2026_08_16/s2,s2,v7,,mass15,15,球L,ball(3cm),2.85,≥2.5°,clear,0,0,schedule,1,hit,1,115.96,121.97,3,3,3,3,correct,球L,2.75,1.51,0.04,0.5,0.873,0.183,0.67,1.25,mixed,1,1,0,1,球M,correct,correct,correct,0.873,0.594,0.509,0.604,2.46
2026_08_16/s3,s3,v7,,mass15,1,球M,ball(3cm),3.19,≥2.5°,clear,0,0,schedule,1,hit,1,18.24,23.94,4,4,4,4,correct,球M,2.43,1.83,0.03,1.0,0.318,0.0,0.971,0.6,correct_only,1,0,0,0,,correct,correct,correct,0.651,,1.0,,3.45
2026_08_16/s3,s3,v7,,mass15,2,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,hit,1,25.1,30.88,2,2,2,2,correct,球L,2.69,-0.83,0.21,0.627,0.388,0.137,0.932,3.52,correct_only,1,0,0,0,,correct,correct,correct,0.388,,0.668,,3.35
2026_08_16/s3,s3,v7,,mass15,3,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,hit,1,32.04,37.86,2,2,1,1,correct,球L,5.14,1.13,2.62,0.705,0.396,0.071,0.938,4.01,correct_only,1,0,0,0,,correct,correct,correct,0.396,,0.756,,3.35
2026_08_16/s3,s3,v7,,mass15,4,球M,ball(3cm),3.19,≥2.5°,clear,0,0,schedule,1,hit,1,39.02,44.84,4,4,4,4,correct,球M,1.62,1.3,-0.9,0.829,1.518,0.045,0.833,0.32,correct_only,1,0,0,0,,correct,correct,correct,2.133,,0.984,,3.91
2026_08_16/s3,s3,v7,,mass15,5,球R,ball(3cm),1.53,1.0–2.5°,clear,0,0,schedule,1,hit,1,46.0,51.67,1,1,1,1,correct,球R,5.49,-0.85,3.12,0.741,0.595,0.276,0.942,6.34,correct_only,1,0,0,0,,correct,correct,correct,0.595,,0.741,,3.4
2026_08_16/s3,s3,v7,,mass15,6,球R,ball(3cm),1.53,1.0–2.5°,clear,0,0,schedule,1,hit,1,52.83,58.53,1,1,1,1,correct,球R,5.63,-0.82,3.23,0.709,0.605,0.324,0.939,6.45,correct_only,1,0,0,0,,correct,correct,correct,0.605,,0.709,,3.39
2026_08_16/s3,s3,v7,,mass15,7,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,hit,1,59.69,65.49,4,4,3,3,correct,球L,3.94,2.59,1.44,0.557,0.419,0.174,0.917,1.35,correct_only,1,0,0,0,,correct,correct,correct,0.677,0.192,0.557,0.451,3.34
2026_08_16/s3,s3,v7,,mass15,8,球L,ball(3cm),2.0,1.0–2.5°,clear,0,0,schedule,1,hit,1,66.69,72.43,1,1,1,1,correct,球L,5.56,-0.39,3.12,0.709,0.447,0.069,0.931,5.96,correct_only,1,0,0,0,,correct,correct,correct,0.447,,0.709,,3.35
2026_08_16/s3,s3,v7,,mass15,9,球M,ball(3cm),3.19,≥2.5°,clear,0,0,schedule,1,hit,1,73.59,79.32,3,3,3,3,correct,球M,2.63,-0.99,0.2,0.885,1.847,0.028,0.81,3.63,correct_only,1,0,0,0,,correct,correct,correct,1.923,,0.98,,3.4
