rec,card,era,flags,cfg,t_start_rel,t_end_rel,dur_s,dist_m,object,object_label,share,q,capture,A_cap,A_share,p_none,surface,W,acc_live,acc_e2,window_k,target,correct,n_cands,candidates
2026_08_20/000,c1,v9,,tag15,66.18,66.46,0.27,2.322,球R,263,0.262,0.175,1.2,0.555,1.145,0.332,object#12,,0,0,,,,3,"[{""name"": ""球R"", ""share"": 0.262, ""q"": 0.175, ""capture"": 1.2, ""miss_deg"": 0.0, ""labels"": [263]}, {""name"": ""白杯1"", ""share"": 0.3, ""q"": 0.2, ""capture"": 0.666, ""miss_deg"": 1.35, ""labels"": [266]}, {""name"": ""白杯2"", ""share"": 0.158, ""q"": 0.105, ""capture"": 0.427, ""miss_deg"": 1.96, ""labels"": [267]}]"
2026_08_20/000,c1,v9,,tag15,66.51,67.54,1.03,2.311,球R,263,0.313,0.186,1.272,0.525,1.086,0.408,物品台,,0,0,,,,3,"[{""name"": ""球R"", ""share"": 0.313, ""q"": 0.186, ""capture"": 1.272, ""miss_deg"": 0.0, ""labels"": [263]}, {""name"": ""白杯1"", ""share"": 0.34, ""q"": 0.201, ""capture"": 0.668, ""miss_deg"": 1.35, ""labels"": [266]}, {""name"": ""红杯"", ""share"": 0.182, ""q"": 0.108, ""capture"": 0.24, ""miss_deg"": 2.53, ""labels"": [49]}]"
2026_08_20/000,c1,v9,,tag15,67.76,68.68,0.91,2.335,球R,263,0.295,0.19,1.302,0.459,0.946,0.355,object#12,,0,0,7,红杯,0,3,"[{""name"": ""球R"", ""share"": 0.295, ""q"": 0.19, ""capture"": 1.302, ""miss_deg"": 0.0, ""labels"": [263]}, {""name"": ""白杯1"", ""share"": 0.279, ""q"": 0.18, ""capture"": 0.598, ""miss_deg"": 1.52, ""labels"": [266]}, {""name"": ""白杯2"", ""share"": 0.157, ""q"": 0.101, ""capture"": 0.41, ""miss_deg"": 2.0, ""labels"": [267]}]"
2026_08_20/000,c1,v9,,tag15,68.74,69.17,0.43,2.303,球R,263,0.267,0.152,1.04,0.859,1.457,0.432,物品台,,0,0,7,红杯,0,3,"[{""name"": ""球R"", ""share"": 0.267, ""q"": 0.152, ""capture"": 1.04, ""miss_deg"": 0.0, ""labels"": [263]}, {""name"": ""白杯2"", ""share"": 0.389, ""q"": 0.221, ""capture"": 0.893, ""miss_deg"": 0.71, ""labels"": [267]}, {""name"": ""红杯"", ""share"": 0.218, ""q"": 0.124, ""capture"": 0.269, ""miss_deg"": 2.43, ""labels"": [49]}]"
2026_08_20/000,c1,v9,,tag15,69.23,69.82,0.6,2.298,球R,263,0.411,0.185,1.267,0.382,0.786,0.549,物品台,,0,0,7,红杯,0,3,"[{""name"": ""球R"", ""share"": 0.411, ""q"": 0.185, ""capture"": 1.267, ""miss_deg"": 0.0, ""labels"": [263]}, {""name"": ""白杯1"", ""share"": 0.323, ""q"": 0.146, ""capture"": 0.484, ""miss_deg"": 1.81, ""labels"": [266]}, {""name"": ""白杯2"", ""share"": 0.062, ""q"": 0.028, ""capture"": 0.11, ""miss_deg"": 3.15, ""labels"": [267]}]"
2026_08_20/000,c1,v9,,tag15,69.88,70.36,0.49,2.309,球R,263,0.356,0.208,1.425,0.385,0.652,0.416,物品台,,1,0,7,红杯,0,3,"[{""name"": ""球R"", ""share"": 0.356, ""q"": 0.208, ""capture"": 1.425, ""miss_deg"": 0.0, ""labels"": [263]}, {""name"": ""白杯2"", ""share"": 0.232, ""q"": 0.135, ""capture"": 0.549, ""miss_deg"": 1.64, ""labels"": [267]}, {""name"": ""白杯1"", ""share"": 0.202, ""q"": 0.118, ""capture"": 0.392, ""miss_deg"": 2.05, ""labels"": [266]}]"
2026_08_20/000,c1,v9,,tag15,70.42,71.07,0.65,2.291,球R,263,0.212,0.122,0.836,0.921,1.896,0.424,object#12,,0,0,7,红杯,0,3,"[{""name"": ""球R"", ""share"": 0.212, ""q"": 0.122, ""capture"": 0.836, ""miss_deg"": 0.9, ""labels"": [263]}, {""name"": ""白杯1"", ""share"": 0.402, ""q"": 0.232, ""capture"": 0.77, ""miss_deg"": 1.08, ""labels"": [266]}, {""name"": ""球M"", ""share"": 0.045, ""q"": 0.026, ""capture"": 0.176, ""miss_deg"": 2.8, ""labels"": [261]}]"
2026_08_20/000,c1,v9,,tag15,71.12,71.99,0.87,2.327,球R,263,0.264,0.168,1.154,0.695,1.174,0.362,物品台,,0,0,7,红杯,0,3,"[{""name"": ""球R"", ""share"": 0.264, ""q"": 0.168, ""capture"": 1.154, ""miss_deg"": 0.0, ""labels"": [263]}, {""name"": ""白杯2"", ""share"": 0.31, ""q"": 0.198, ""capture"": 0.802, ""miss_deg"": 1.0, ""labels"": [267]}, {""name"": ""红杯"", ""share"": 0.255, ""q"": 0.163, ""capture"": 0.367, ""miss_deg"": 2.12, ""labels"": [49]}]"
2026_08_20/000,c1,v9,,tag15,73.62,73.94,0.32,2.142,球L,259,0.79,0.125,0.764,0.072,0.097,0.842,物品台,,1,1,8,苹果红,0,3,"[{""name"": ""球L"", ""share"": 0.79, ""q"": 0.125, ""capture"": 0.764, ""miss_deg"": 1.1, ""labels"": [259]}, {""name"": ""苹果红"", ""share"": 0.077, ""q"": 0.012, ""capture"": 0.055, ""miss_deg"": 3.62, ""labels"": [260]}, {""name"": ""苹果粉"", ""share"": 0.074, ""q"": 0.012, ""capture"": 0.039, ""miss_deg"": 3.82, ""labels"": [64]}]"
2026_08_20/000,c1,v9,,tag15,74.0,75.35,1.35,2.256,球L,259,0.438,0.216,1.322,0.514,0.646,0.506,物品台,,1,0,8,苹果红,0,3,"[{""name"": ""球L"", ""share"": 0.438, ""q"": 0.216, ""capture"": 1.322, ""miss_deg"": 0.0, ""labels"": [259]}, {""name"": ""苹果红"", ""share"": 0.283, ""q"": 0.14, ""capture"": 0.679, ""miss_deg"": 1.32, ""labels"": [260]}, {""name"": ""苹果粉"", ""share"": 0.073, ""q"": 0.036, ""capture"": 0.126, ""miss_deg"": 3.05, ""labels"": [64, 250]}]"
