rec,k,target,tier,occl,flags,theta_unit,dist_m,reliable,ours_first,ours_obj,ours_cap,ours_share,ours_A,ours_any,ours_lcs,v1_first,v1_obj,v1_cap,v1_share,v1_A,v1_any,v1_lcs,ours_best_target_cap,v1_best_target_cap,ours_best_wrong_cap,v1_best_wrong_cap
2026_08_16/s6,5,球M,1.0–2.5°,clear,,1.79,4.46,1,correct,球M,0.728,0.986,0.019,correct_only,hit,correct,球M,,0.697,,correct_only,hit,0.74,0.0,,
2026_08_16/s6,6,球R,1.0–2.5°,clear,,1.85,4.54,1,wrong,球M,0.685,0.891,0.105,wrong_only,hit,correct,球R,,0.679,,mixed,hit,0.095,0.0,0.685,0.0
2026_08_16/s6,7,球R,1.0–2.5°,clear,,1.85,4.6,1,correct,球R,0.293,0.962,0.044,correct_only,hit,correct,球R,,0.659,,correct_only,hit,0.293,0.0,,
2026_08_16/s6,8,球M,1.0–2.5°,clear,,1.79,4.55,1,correct,球M,0.358,1.0,0.0,correct_only,hit,correct,球M,,0.701,,correct_only,hit,0.358,0.0,,
2026_08_16/s6,9,球L,<1.0°,clear,,0.56,4.45,1,correct,球L,0.707,0.872,0.044,correct_only,hit,correct,球L,,0.687,,correct_only,hit,0.707,0.0,,
2026_08_16/s6,10,球M,1.0–2.5°,clear,,1.79,4.51,1,correct,球M,0.791,0.886,0.109,correct_only,hit,correct,球M,,0.635,,correct_only,hit,0.833,0.0,,
2026_08_16/s6,11,球L,<1.0°,clear,,0.56,4.41,1,correct,球L,1.103,0.806,0.065,mixed,hit,correct,球L,,0.682,,mixed,hit,1.103,0.0,0.849,0.0
2026_08_16/s6,12,球M,1.0–2.5°,clear,,1.79,4.55,1,correct,球M,1.151,0.901,0.146,mixed,hit,correct,球M,,0.652,,mixed,hit,1.151,0.0,0.417,0.0
2026_08_16/s6,13,球L,<1.0°,clear,,0.56,4.48,1,wrong,球M,0.543,0.867,0.122,mixed,hit,wrong,球M,,0.562,,mixed,hit,1.082,0.0,1.289,0.0
2026_08_16/s6,14,球R,1.0–2.5°,clear,,1.85,4.53,1,correct,球R,0.548,0.865,0.195,mixed,hit,correct,球R,,0.642,,mixed,hit,0.872,0.0,1.299,0.0
2026_08_16/s6,15,球L,<1.0°,clear,,0.56,4.39,1,correct,球L,1.186,0.775,0.085,correct_only,hit,correct,球L,,0.662,,correct_only,hit,1.186,0.0,,
2026_08_18/000,1,球L,≥2.5°,clear,,2.61,3.24,1,correct,球L,0.589,0.996,0.003,correct_only,hit,correct,球L,,0.834,,correct_only,hit,0.589,0.0,,
2026_08_18/000,2,球L,≥2.5°,clear,,2.61,3.01,1,correct,球L,0.405,1.0,0.0,correct_only,hit,correct,球L,,0.881,,correct_only,hit,0.527,0.0,,
2026_08_18/000,3,球R,1.0–2.5°,clear,,2.19,3.29,1,correct,球R,0.266,0.86,0.147,mixed,hit,correct,球R,,0.582,,mixed,hit,0.266,0.0,0.722,0.0
2026_08_18/000,4,球R,1.0–2.5°,clear,,2.19,3.37,1,wrong,球M,0.377,0.736,0.395,wrong_only,miss,correct,球R,,0.57,,mixed,miss,0.182,0.0,0.377,0.0
2026_08_18/000,5,球M,1.0–2.5°,clear,,2.19,3.01,1,correct,球M,0.631,0.865,0.163,correct_only,hit,correct,球M,,0.578,,correct_only,hit,0.631,0.0,,
2026_08_18/000,6,球L,≥2.5°,clear,,2.61,3.02,1,correct,球L,1.206,0.937,0.041,correct_only,hit,correct,球L,,0.733,,correct_only,hit,1.207,0.0,,
2026_08_18/000,7,球M,1.0–2.5°,clear,,2.19,2.98,1,correct,球M,0.838,0.889,0.064,correct_only,hit,correct,球M,,0.565,,correct_only,hit,0.838,0.0,,
2026_08_18/000,8,球R,1.0–2.5°,clear,,2.19,3.08,1,wrong,球M,0.595,0.768,0.333,wrong_only,hit,wrong,球M,,0.568,,wrong_only,hit,,,0.847,0.0
2026_08_18/000,9,球R,1.0–2.5°,clear,,2.19,3.26,1,correct,球R,0.525,0.635,0.524,correct_only,miss,correct,球R,,0.477,,correct_only,miss,0.525,0.0,,
2026_08_18/000,10,球M,1.0–2.5°,clear,,2.19,2.99,1,correct,球M,0.642,0.929,0.061,correct_only,hit,correct,球M,,0.572,,correct_only,hit,0.76,0.0,,
2026_08_18/000,11,球L,≥2.5°,clear,,2.61,3.02,1,correct,球L,1.096,0.959,0.022,mixed,hit,correct,球L,,0.772,,mixed,hit,1.244,0.0,0.608,0.0
2026_08_18/000,12,球M,1.0–2.5°,clear,,2.19,3.08,1,correct,球M,0.81,0.872,0.112,mixed,hit,correct,球M,,0.578,,correct_only,hit,0.844,0.0,0.585,
2026_08_18/000,13,球R,1.0–2.5°,clear,,2.19,3.33,1,correct,球R,0.721,0.948,0.05,mixed,hit,correct,球R,,0.67,,mixed,hit,0.781,0.0,0.673,0.0
2026_08_18/000,14,球M,1.0–2.5°,clear,,2.19,3.08,1,correct,球M,0.856,0.894,0.112,correct_only,hit,correct,球M,,0.606,,correct_only,hit,0.856,0.0,,
2026_08_18/000,15,球L,≥2.5°,clear,,2.61,3.02,1,correct,球L,1.173,0.884,0.048,correct_only,hit,correct,球L,,0.698,,correct_only,hit,1.173,0.0,,
2026_08_20/000,1,球R,1.0–2.5°,clear,,2.17,2.16,1,correct,球R,0.358,0.775,0.081,correct_only,hit,correct,球R,,0.576,,correct_only,hit,0.498,0.0,,
2026_08_20/000,2,香蕉,<1.0°,clear,,0.41,2.25,1,wrong,球M,1.302,0.689,0.109,wrong_only,miss,wrong,水瓶,,0.439,,wrong_only,miss,,,1.302,0.0
2026_08_20/000,3,纸箱子,≥2.5°,clear,,24.07,3.06,1,correct,纸箱子,0.854,1.0,0.0,correct_only,hit,correct,纸箱子,,1.0,,correct_only,hit,0.854,0.0,,
2026_08_20/000,4,苹果粉,1.0–2.5°,clear,,2.09,2.24,1,correct,苹果粉,0.594,0.966,0.015,mixed,hit,correct,苹果粉,,0.787,,mixed,hit,0.594,0.0,0.957,0.0
2026_08_20/000,5,白杯1,1.0–2.5°,clear,,1.84,2.3,1,correct,白杯1,0.612,0.608,0.657,correct_only,hit,correct,白杯1,,0.367,,correct_only,hit,0.612,0.0,0.381,0.0
2026_08_20/000,6,水瓶,<1.0°,clear,,0.41,2.3,1,wrong,白杯1,0.762,0.611,0.651,mixed,miss,wrong,白杯1,,0.386,,mixed,hit,0.568,0.0,0.887,0.0
2026_08_20/000,7,红杯,1.0–2.5°,clear,,1.84,2.31,1,wrong,白杯2,0.882,0.593,0.46,wrong_only,miss,wrong,白杯2,,0.443,,wrong_only,miss,,,1.043,0.0
2026_08_20/000,8,苹果红,<1.0°,clear,,0.41,2.26,1,wrong,球L,1.003,0.503,0.621,wrong_only,miss,wrong,球L,,0.427,,wrong_only,miss,,,1.25,0.0
2026_08_20/000,9,球M,1.0–2.5°,clear,,1.83,2.23,1,correct,球M,0.587,0.745,0.095,mixed,hit,correct,球M,,0.61,,mixed,hit,1.278,0.0,0.659,0.0
2026_08_20/000,10,橘子,<1.0°,clear,,0.41,2.35,1,wrong,苹果红,0.648,0.561,0.34,wrong_only,miss,wrong,苹果红,,0.378,,wrong_only,miss,,,0.648,0.0
2026_08_20/000,11,球L,1.0–2.5°,clear,,1.71,2.29,1,correct,球L,0.663,0.749,0.133,mixed,hit,correct,球L,,0.501,,correct_only,hit,1.02,0.0,0.68,0.0
2026_08_20/000,12,白杯2,1.0–2.5°,clear,,2.03,2.31,1,correct,白杯2,0.99,0.681,0.243,mixed,hit,correct,白杯2,,0.5,,correct_only,hit,0.99,0.0,1.014,0.0
2026_08_20/001,1,球R,1.0–2.5°,clear,,1.28,2.72,0,correct,球R,1.01,0.679,0.103,correct_only,hit,correct,球R,,0.412,,correct_only,hit,1.01,0.0,,
2026_08_20/001,2,球R,1.0–2.5°,clear,,1.28,3.19,0,correct,球R,0.525,0.388,0.333,correct_only,hit,none,,,,,none,hit,0.525,0.0,,
2026_08_20/001,3,苹果红,<1.0°,clear,,0.13,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_20/001,4,球L,1.0–2.5°,clear,,1.03,3.13,0,correct,球L,1.264,0.51,0.289,correct_only,hit,wrong,苹果粉,,0.567,,wrong_only,hit,1.443,0.0,0.177,0.0
2026_08_20/001,5,苹果粉,1.0–2.5°,clear,,1.31,3.22,0,correct,苹果粉,0.82,0.891,0.123,correct_only,hit,correct,苹果粉,,0.687,,correct_only,hit,0.82,0.0,,
2026_08_20/001,6,白杯1,1.0–2.5°,clear,,1.28,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,hit,,,,
2026_08_20/001,7,球M,<1.0°,clear,,0.89,3.27,0,correct,球M,0.912,0.624,0.082,correct_only,hit,none,,,,,none,miss,0.947,0.0,,0.0
2026_08_20/001,8,白杯1,1.0–2.5°,clear,,1.28,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_20/001,9,苹果粉,1.0–2.5°,clear,,1.31,3.3,0,correct,苹果粉,0.297,0.829,0.293,correct_only,hit,correct,苹果粉,,0.615,,correct_only,hit,0.297,0.0,,
2026_08_20/001,10,球R,1.0–2.5°,clear,,1.28,3.28,0,correct,球R,1.234,0.471,0.281,correct_only,hit,none,,,,,none,hit,1.234,0.0,0.673,0.0
2026_08_20/001,11,球M,<1.0°,clear,,0.89,3.25,0,correct,球M,0.322,0.647,0.165,correct_only,hit,none,,,,,none,hit,0.839,0.0,0.038,0.0
2026_08_20/001,12,白杯2,,clear,,,3.27,0,correct,白杯2,0.817,0.484,0.864,correct_only,hit,correct,白杯2,,0.389,,correct_only,hit,0.817,0.0,,
2026_08_20/001,13,白杯2,,clear,,,3.27,0,correct,白杯2,0.817,0.484,0.864,correct_only,miss,correct,白杯2,,0.389,,correct_only,miss,0.817,0.0,,
2026_08_20/001,14,球L,1.0–2.5°,clear,,1.03,3.23,0,correct,球L,0.656,0.481,0.45,correct_only,hit,none,,,,,none,hit,1.053,0.0,,0.0
2026_08_20/001,15,苹果红,<1.0°,clear,,0.13,3.24,0,none,,,,,none,hit,none,,,,,none,miss,0.847,,,0.0
2026_08_20/002,1,球L,<1.0°,occluded(beyond limit),beyond_occ,0.84,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,hit,,,,
2026_08_20/002,2,球R,<1.0°,occluded(beyond limit),beyond_occ,0.84,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
