rec,card,room,map,station,tags,target,outcome,theta_deg,theta_src,vote,dur_s,dist_m
s6,s6,新房,v8,4.3m α57°,,网球L,hit,0.56,unit,0.72,3.1,4.41
s6,s6,新房,v8,4.3m α57°,,网球L,extra,0.56,unit,0.66,1.4,4.48
s6,s6,新房,v8,4.3m α57°,,网球R,hit,1.85,unit,0.58,4.9,4.55
s6,s6,新房,v8,4.3m α57°,,网球L,hit,0.56,unit,0.73,5.5,4.4
000,s7,新房,v8,3.1m α22.5°,,网球M,extra,2.19,unit,0.57,2.9,2.93
000,s7,新房,v8,3.1m α22.5°,,网球L,hit,2.23,station,0.83,12.0,3.01
000,s7,新房,v8,3.1m α22.5°,,网球L,hit,2.23,station,0.83,12.0,3.01
000,s7,新房,v8,3.1m α22.5°,,网球R,hit,2.23,station,0.58,3.0,3.4
000,s7,新房,v8,3.1m α22.5°,,网球R,miss,2.23,station,0.58,3.0,3.4
000,s7,新房,v8,3.1m α22.5°,,网球M,hit,2.19,unit,0.56,2.6,3.21
000,s7,新房,v8,3.1m α22.5°,,网球R,extra,2.19,unit,0.57,2.4,3.38
000,s7,新房,v8,3.1m α22.5°,,网球M,extra,2.19,unit,0.49,2.5,3.35
000,s7,新房,v8,3.1m α22.5°,,网球M,extra,2.19,unit,0.51,4.8,2.99
000,s7,新房,v8,3.1m α22.5°,,网球L,hit,2.61,unit,0.76,5.4,3.02
000,s7,新房,v8,3.1m α22.5°,,网球M,hit,2.19,unit,0.56,4.9,2.98
000,s7,新房,v8,3.1m α22.5°,,网球M,extra,2.19,unit,0.52,7.6,2.97
000,s7,新房,v8,3.1m α22.5°,,网球R,hit,2.23,station,0.48,5.0,3.2
000,s7,新房,v8,3.1m α22.5°,,网球R,miss,2.23,station,0.48,5.0,3.2
000,s7,新房,v8,3.1m α22.5°,,网球M,hit,2.19,unit,0.53,6.6,2.98
000,s7,新房,v8,3.1m α22.5°,,网球L,hit,2.61,unit,0.77,4.0,3.02
000,s7,新房,v8,3.1m α22.5°,,网球L,extra,2.61,unit,0.72,1.0,3.04
000,s7,新房,v8,3.1m α22.5°,,网球M,hit,2.19,unit,0.56,6.3,3.03
000,s7,新房,v8,3.1m α22.5°,,网球R,hit,2.19,unit,0.62,1.4,3.34
000,s7,新房,v8,3.1m α22.5°,,网球R,extra,2.19,unit,0.6,1.6,3.38
000,s7,新房,v8,3.1m α22.5°,,网球R,extra,2.19,unit,0.67,1.9,3.43
000,s7,新房,v8,3.1m α22.5°,,网球M,hit,2.19,unit,0.58,6.3,3.08
000,s7,新房,v8,3.1m α22.5°,,网球L,hit,2.61,unit,0.64,5.9,3.03
000,c1,新房,v9,2m 正对,,球L,extra,1.71,unit,0.54,1.6,2.28
000,c1,新房,v9,2m 正对,,球R,hit,2.17,unit,0.62,5.3,2.13
000,c1,新房,v9,2m 正对,,香蕉,miss,0.41,unit,,,
000,c1,新房,v9,2m 正对,,球M,extra,1.83,unit,0.44,3.5,2.23
000,c1,新房,v9,2m 正对,,水瓶,extra,0.41,unit,0.32,2.9,2.24
000,c1,新房,v9,2m 正对,,纸箱子,hit,24.07,unit,1.0,5.7,3.06
000,c1,新房,v9,2m 正对,,苹果粉,hit,2.09,unit,0.66,4.9,2.23
000,c1,新房,v9,2m 正对,,苹果粉,extra,2.09,unit,0.63,1.0,2.24
000,c1,新房,v9,2m 正对,,白杯1,hit,1.84,unit,0.33,3.9,2.38
000,c1,新房,v9,2m 正对,,水瓶,hit,0.41,unit,0.47,3.1,2.27
000,c1,新房,v9,2m 正对,,红杯,miss,1.84,unit,,,
000,c1,新房,v9,2m 正对,,苹果红,miss,0.41,unit,,,
000,c1,新房,v9,2m 正对,,水瓶,extra,0.41,unit,0.53,2.1,2.34
000,c1,新房,v9,2m 正对,,白杯1,extra,1.84,unit,0.3,1.7,2.31
000,c1,新房,v9,2m 正对,,球R,extra,2.17,unit,0.37,1.1,2.3
000,c1,新房,v9,2m 正对,,球L,extra,1.71,unit,0.28,5.3,2.25
000,c1,新房,v9,2m 正对,,球M,hit,1.83,unit,0.61,2.1,2.17
000,c1,新房,v9,2m 正对,,橘子,miss,0.41,unit,,,
000,c1,新房,v9,2m 正对,,球M,extra,1.83,unit,0.55,1.5,2.22
000,c1,新房,v9,2m 正对,,苹果红,extra,0.41,unit,0.38,6.3,2.35
000,c1,新房,v9,2m 正对,,球L,hit,1.71,unit,0.51,3.0,2.27
000,c1,新房,v9,2m 正对,,白杯2,hit,2.03,unit,0.5,2.5,2.32
000,c1,新房,v9,2m 正对,,球R,extra,2.17,unit,0.31,1.4,2.31
001,c2,新房,v9,2m 正对,,球R,hit,1.07,station,0.41,5.7,2.71
001,c2,新房,v9,2m 正对,,球R,hit,1.07,station,0.41,5.7,2.71
001,c2,新房,v9,2m 正对,,苹果红,miss,0.13,unit,,,
001,c2,新房,v9,2m 正对,,球L,hit,1.03,unit,0.33,1.7,3.13
001,c2,新房,v9,2m 正对,,球L,extra,1.03,unit,0.25,4.0,3.25
001,c2,新房,v9,2m 正对,,球L,extra,1.03,unit,0.41,4.2,3.26
001,c2,新房,v9,2m 正对,,苹果粉,hit,1.31,unit,0.6,6.0,3.21
001,c2,新房,v9,2m 正对,,白杯1,hit,1.28,unit,0.25,2.0,3.28
001,c2,新房,v9,2m 正对,,球M,miss,0.89,unit,,,
001,c2,新房,v9,2m 正对,,白杯1,miss,1.28,unit,,,
001,c2,新房,v9,2m 正对,,水瓶,extra,0.46,unit,0.32,1.2,3.28
001,c2,新房,v9,2m 正对,,球L,extra,1.03,unit,0.31,1.0,3.29
001,c2,新房,v9,2m 正对,,球R,extra,1.28,unit,0.25,2.9,3.32
001,c2,新房,v9,2m 正对,,球R,extra,1.28,unit,0.31,1.1,3.31
001,c2,新房,v9,2m 正对,,苹果粉,hit,1.31,unit,0.61,2.3,3.3
001,c2,新房,v9,2m 正对,,球R,hit,1.28,unit,0.32,1.8,3.22
001,c2,新房,v9,2m 正对,,球R,extra,1.28,unit,0.33,1.2,3.26
001,c2,新房,v9,2m 正对,,球M,hit,0.89,unit,0.33,2.2,3.21
001,c2,新房,v9,2m 正对,,白杯2,hit,1.07,station,0.39,4.6,3.25
001,c2,新房,v9,2m 正对,,白杯2,miss,1.07,station,0.39,4.6,3.25
001,c2,新房,v9,2m 正对,,球R,extra,1.28,unit,0.32,1.6,3.23
001,c2,新房,v9,2m 正对,,白杯2,extra,1.15,unit,0.39,6.0,3.24
001,c2,新房,v9,2m 正对,,球L,hit,1.03,unit,0.28,2.1,3.21
001,c2,新房,v9,2m 正对,,苹果红,miss,0.13,unit,,,
001,c2,新房,v9,2m 正对,,水瓶,extra,0.46,unit,0.32,1.0,3.24
001,c2,新房,v9,2m 正对,,球L,extra,1.03,unit,0.28,2.7,3.25
001,c2,新房,v9,2m 正对,,水瓶,extra,0.46,unit,0.26,1.0,3.25
002,c4,新房,v9,4.36m α20.6°,beyond_occ,球L,hit,0.84,unit,0.21,4.7,4.18
002,c4,新房,v9,4.36m α20.6°,beyond_occ,球R,miss,0.84,station,,,
002,c4,新房,v9,4.36m α20.6°,beyond_occ,球R,miss,0.84,station,,,
002,c4,新房,v9,4.36m α20.6°,beyond_occ,球M,miss,0.84,station,,,
002,c4,新房,v9,4.36m α20.6°,beyond_occ,球M,miss,0.84,station,,,
002,c4,新房,v9,4.36m α20.6°,beyond_occ,球L,hit,0.84,unit,0.23,3.8,4.23
002,c4,新房,v9,4.36m α20.6°,beyond_occ,球R,miss,0.84,unit,,,
002,c4,新房,v9,4.36m α20.6°,beyond_occ,球L,hit,0.84,station,0.22,4.8,4.26
002,c4,新房,v9,4.36m α20.6°,beyond_occ,球L,miss,0.84,station,0.22,4.8,4.26
002,c4,新房,v9,4.36m α20.6°,beyond_occ,球M,hit,0.66,unit,0.23,1.1,4.26
002,c4,新房,v9,4.36m α20.6°,beyond_occ,球L,hit,0.84,unit,0.23,12.4,4.31
002,c4,新房,v9,4.36m α20.6°,beyond_occ,苹果粉,extra,1.66,unit,0.23,4.7,4.28
002,c4,新房,v9,4.36m α20.6°,beyond_occ,球L,extra,0.84,unit,0.23,3.2,4.3
002,c4,新房,v9,4.36m α20.6°,beyond_occ,苹果粉,extra,1.66,unit,0.26,1.4,4.3
002,c4,新房,v9,4.36m α20.6°,beyond_occ,球L,extra,0.84,unit,0.24,1.8,4.29
002,c4,新房,v9,4.36m α20.6°,beyond_occ,苹果粉,extra,1.66,unit,0.38,1.8,4.29
002,c4,新房,v9,4.36m α20.6°,beyond_occ,球L,extra,0.84,unit,0.22,7.3,4.29
002,c4,新房,v9,4.36m α20.6°,beyond_occ,球L,extra,0.84,unit,0.21,1.9,4.25
002,c4,新房,v9,4.36m α20.6°,beyond_occ,水瓶,extra,0.38,unit,0.23,1.4,4.26
002,c4,新房,v9,4.36m α20.6°,beyond_occ,球L,extra,0.84,unit,0.27,6.9,4.28
002,c4,新房,v9,4.36m α20.6°,beyond_occ,球L,extra,0.84,unit,0.25,3.2,4.25
002,c4,新房,v9,4.36m α20.6°,beyond_occ,球L,extra,0.84,unit,0.23,19.1,4.27
002,c4,新房,v9,4.36m α20.6°,beyond_occ,水瓶,extra,0.38,unit,0.22,1.7,4.33
002,c4,新房,v9,4.36m α20.6°,beyond_occ,球L,extra,0.84,unit,0.22,3.7,4.33
002,c4,新房,v9,4.36m α20.6°,beyond_occ,苹果粉,extra,1.66,unit,0.34,1.0,4.33
002,c4,新房,v9,4.36m α20.6°,beyond_occ,球L,extra,0.84,unit,0.21,6.4,4.31
002,c4,新房,v9,4.36m α20.6°,beyond_occ,球M,hit,0.66,unit,0.23,1.8,4.25
002,c4,新房,v9,4.36m α20.6°,beyond_occ,球R,miss,0.84,unit,,,
002,c4,新房,v9,4.36m α20.6°,beyond_occ,球L,extra,0.84,unit,0.27,1.7,4.21
002,c4,新房,v9,4.36m α20.6°,beyond_occ,球M,hit,0.66,unit,0.24,1.0,4.22
002,c4,新房,v9,4.36m α20.6°,beyond_occ,球R,miss,0.84,unit,,,
003,c4,新房,v9,4.52m α14.5°,beyond_occ,球L,hit,0.64,unit,0.29,1.6,4.21
003,c4,新房,v9,4.52m α14.5°,beyond_occ,球R,miss,0.64,station,,,
003,c4,新房,v9,4.52m α14.5°,beyond_occ,球R,miss,0.64,station,,,
003,c4,新房,v9,4.52m α14.5°,beyond_occ,球M,miss,0.64,station,,,
003,c4,新房,v9,4.52m α14.5°,beyond_occ,球M,miss,0.64,station,,,
003,c4,新房,v9,4.52m α14.5°,beyond_occ,球L,hit,0.64,unit,0.27,1.2,4.36
