rec,card,map,tags,k,target,outcome,dwell,dwell_obj,dwell_s,gated,gated_obj,n_seg,theta_unit,theta_trial,head_src,head_frames,dist_m,occluded,blocker,walking,window_src
2026_08_16/s4,s4,v8,,1,网球L,hit,correct,球L,4.17,correct,球L,2,1.67,1.71,window,32,3.74,0.0,(unnamed),0,schedule
2026_08_16/s4,s4,v8,,2,网球L,hit,correct,球L,6.12,correct,球L,2,1.67,1.71,window,33,3.74,0.0,(unnamed),0,schedule
2026_08_16/s4,s4,v8,,3,网球M,miss,wrong,球L,1.62,wrong,球L,6,2.82,2.78,window,31,3.76,0.0,,0,schedule
2026_08_16/s4,s4,v8,,4,网球R,hit,correct,球R,6.12,none,,5,1.28,1.24,window,32,3.76,0.0,(unnamed),0,schedule
2026_08_16/s4,s4,v8,,5,网球R,hit,correct,球R,6.34,none,,3,1.28,1.25,window,34,3.77,0.0,(unnamed),0,schedule
2026_08_16/s4,s4,v8,,6,网球M,hit,correct,球M,1.41,none,,5,2.82,2.79,window,34,3.74,0.0,,0,schedule
2026_08_16/s4,s4,v8,,7,网球M,hit,correct,球M,1.57,none,,4,2.82,2.8,window,33,3.75,0.0,,0,schedule
2026_08_16/s4,s4,v8,,8,网球L,hit,correct,球L,2.04,none,,3,1.67,1.68,window,33,3.72,0.0,(unnamed),0,schedule
2026_08_16/s4,s4,v8,,9,网球R,miss,wrong,石榴,2.16,none,,4,1.28,1.3,window,32,3.74,0.0,(unnamed),0,schedule
2026_08_16/s4,s4,v8,,10,网球M,miss,wrong,石榴,1.22,none,,3,2.82,2.86,window,32,3.71,0.0,,0,schedule
2026_08_16/s4,s4,v8,,11,网球R,miss,wrong,球M,5.37,none,,3,1.28,1.29,window,32,3.74,0.0,(unnamed),0,schedule
2026_08_16/s4,s4,v8,,12,网球R,miss,wrong,石榴,3.63,none,,1,1.28,1.3,window,33,3.75,0.0,(unnamed),0,schedule
2026_08_16/s4,s4,v8,,13,网球M,hit,correct,球M,2.22,none,,1,2.82,2.85,window,33,3.71,0.0,,0,schedule
2026_08_16/s4,s4,v8,,14,网球L,hit,correct,球L,3.57,correct,球L,1,1.67,1.68,window,33,3.71,0.0,(unnamed),0,schedule
2026_08_16/s4,s4,v8,,15,网球L,hit,correct,球L,5.74,none,,4,1.67,1.68,window,34,3.71,0.0,(unnamed),0,schedule
2026_08_16/s6,s6,v8,,1,网球L,hit,correct,球L,4.51,none,,2,0.56,0.56,window,31,4.27,0.0,(unnamed),0,schedule
2026_08_16/s6,s6,v8,,2,网球M,hit,correct,球M,3.63,none,,5,1.79,1.74,window,33,4.43,0.0,(unnamed),0,schedule
2026_08_16/s6,s6,v8,,3,网球R,miss,wrong,球M,5.85,wrong,球M,2,1.85,1.85,window,25,4.56,0.0,(unnamed),0,schedule
2026_08_16/s6,s6,v8,,4,网球R,miss,wrong,球M,3.79,none,,3,1.85,1.86,window,26,4.55,0.0,(unnamed),0,schedule
2026_08_16/s6,s6,v8,,5,网球M,hit,correct,球M,6.61,none,,2,1.79,1.76,window,32,4.41,0.0,(unnamed),0,schedule
2026_08_16/s6,s6,v8,,6,网球R,miss,wrong,球M,5.04,none,,2,1.85,1.86,window,30,4.57,0.0,(unnamed),0,schedule
2026_08_16/s6,s6,v8,,7,网球R,miss,wrong,球M,2.82,none,,2,1.85,1.85,window,34,4.58,0.0,(unnamed),0,schedule
2026_08_16/s6,s6,v8,,8,网球M,hit,correct,球M,2.87,none,,1,1.79,1.79,window,21,4.38,0.0,(unnamed),0,schedule
2026_08_16/s6,s6,v8,,9,网球L,hit,correct,球L,4.39,none,,2,0.56,0.54,window,29,4.27,0.0,(unnamed),0,schedule
2026_08_16/s6,s6,v8,,10,网球M,hit,correct,球M,6.07,none,,2,1.79,1.76,window,27,4.4,0.0,(unnamed),0,schedule
2026_08_16/s6,s6,v8,,11,网球L,hit,correct,球L,4.77,none,,5,0.56,0.53,window,25,4.27,0.0,(unnamed),0,schedule
2026_08_16/s6,s6,v8,,12,网球M,hit,correct,球M,5.58,none,,3,1.79,1.76,window,34,4.41,0.0,(unnamed),0,schedule
2026_08_16/s6,s6,v8,,13,网球L,hit,correct,球L,2.22,none,,5,0.56,0.57,window,28,4.28,0.0,(unnamed),0,schedule
2026_08_16/s6,s6,v8,,14,网球R,miss,wrong,球M,2.92,none,,4,1.85,1.84,window,30,4.58,0.0,(unnamed),0,schedule
2026_08_16/s6,s6,v8,,15,网球L,hit,correct,球L,2.0,none,,2,0.56,0.57,window,22,4.22,0.0,(unnamed),0,schedule
2026_08_18/000,s7,v8,,1,网球L,hit,correct,球L,5.31,correct,球L,2,2.61,2.55,window,34,2.92,0.0,,0,schedule
2026_08_18/000,s7,v8,,2,网球L,hit,correct,球L,6.66,correct,球L,2,2.61,2.63,window,34,2.91,0.0,,0,schedule
2026_08_18/000,s7,v8,,3,网球R,miss,wrong,球M,4.17,none,,5,2.19,2.22,window,34,3.47,0.0,(unnamed),0,schedule
2026_08_18/000,s7,v8,,4,网球R,miss,wrong,球M,5.15,none,,4,2.19,2.21,window,34,3.43,0.0,(unnamed),0,schedule
2026_08_18/000,s7,v8,,5,网球M,miss,wrong,球L,2.92,none,,4,2.19,2.2,window,34,3.19,0.0,(unnamed),0,schedule
2026_08_18/000,s7,v8,,6,网球L,hit,correct,球L,4.98,correct,球L,4,2.61,2.61,window,33,2.95,0.0,,0,schedule
2026_08_18/000,s7,v8,,7,网球M,miss,wrong,球L,2.99,none,,3,2.19,2.18,window,34,3.19,0.0,(unnamed),0,schedule
2026_08_18/000,s7,v8,,8,网球R,miss,wrong,球M,2.6,none,,9,2.19,2.18,window,34,3.39,0.0,(unnamed),0,schedule
2026_08_18/000,s7,v8,,9,网球R,miss,wrong,球M,5.04,none,,2,2.19,2.18,window,34,3.41,0.0,(unnamed),0,schedule
2026_08_18/000,s7,v8,,10,网球M,miss,wrong,球L,5.09,none,,3,2.19,2.26,window,34,3.19,0.0,(unnamed),0,schedule
2026_08_18/000,s7,v8,,11,网球L,hit,correct,球L,5.25,correct,球L,4,2.61,2.56,window,34,2.95,0.0,,0,schedule
2026_08_18/000,s7,v8,,12,网球M,miss,wrong,球L,3.9,none,,6,2.19,2.09,window,34,3.27,0.0,(unnamed),0,schedule
2026_08_18/000,s7,v8,,13,网球R,miss,wrong,球M,3.96,none,,7,2.19,2.24,window,33,3.5,0.0,(unnamed),0,schedule
2026_08_18/000,s7,v8,,14,网球M,miss,wrong,球L,4.66,none,,4,2.19,2.21,window,34,3.24,0.0,(unnamed),0,schedule
2026_08_18/000,s7,v8,,15,网球L,hit,correct,球L,5.65,correct,球L,2,2.61,2.5,window,34,3.0,0.0,,0,schedule
2026_08_20/000,c1,v9,,1,球R,hit,correct,球R,3.47,none,,4,2.17,2.22,window,34,2.26,0.0,,0,schedule
2026_08_20/000,c1,v9,,2,香蕉,miss,wrong,球M,4.9,none,,3,0.41,0.26,window,33,2.47,0.38,水瓶/球M/苹果红,0,schedule
2026_08_20/000,c1,v9,,3,纸箱子,hit,correct,纸箱子,5.69,correct,纸箱子,3,24.07,24.37,window,34,3.19,0.0,(unnamed),0,schedule
2026_08_20/000,c1,v9,,4,苹果粉,hit,correct,苹果粉,3.49,correct,苹果粉,3,2.09,2.04,window,34,2.56,0.23,橘子/苹果红/球L,0,schedule
2026_08_20/000,c1,v9,,5,白杯1,miss,wrong,球R,3.47,none,,4,1.84,1.79,window,34,2.44,0.0,,0,schedule
2026_08_20/000,c1,v9,,6,水瓶,miss,wrong,球M,1.25,none,,3,0.41,0.38,window,32,2.35,0.0,(物品台/unnamed),0,schedule
2026_08_20/000,c1,v9,,7,红杯,miss,wrong,球R,3.71,none,,6,1.84,1.88,window,34,2.53,0.15,白杯1/白杯2,0,schedule
2026_08_20/000,c1,v9,,8,苹果红,miss,wrong,球L,5.25,none,,4,0.41,0.41,window,34,2.37,0.08,球L,0,schedule
2026_08_20/000,c1,v9,,9,球M,hit,correct,球M,3.52,none,,9,1.83,1.8,window,32,2.29,0.0,,0,schedule
2026_08_20/000,c1,v9,,10,橘子,miss,wrong,球L,5.04,none,,1,0.41,0.42,window,34,2.49,0.62,苹果红,0,schedule
2026_08_20/000,c1,v9,,11,球L,hit,correct,球L,1.89,none,,5,1.71,1.64,window,32,2.31,0.0,,0,schedule
2026_08_20/000,c1,v9,,12,白杯2,miss,wrong,球R,4.87,none,,5,2.03,1.98,window,34,2.38,0.0,,0,schedule
2026_08_20/001,c2,v9,,1,球R,hit,correct,球R,2.65,none,,3,1.28,1.66,window,34,2.73,0.0,,0,lcs_episode
2026_08_20/001,c2,v9,,2,球R,miss,wrong,球M,2.17,none,,1,1.28,1.33,window,28,3.17,0.0,,0,lcs_episode
2026_08_20/001,c2,v9,,3,苹果红,miss,none,,0.0,none,,0,0.13,0.14,no_window,1268,3.35,0.08,球L,0,none
2026_08_20/001,c2,v9,,4,球L,miss,wrong,球M,0.97,none,,3,1.03,1.07,window,25,3.16,0.0,,0,lcs_episode
2026_08_20/001,c2,v9,,5,苹果粉,miss,wrong,球L,3.95,none,,4,1.31,1.33,window,69,3.54,0.15,苹果红,0,lcs_episode
2026_08_20/001,c2,v9,,6,白杯1,miss,none,,0.0,none,,0,1.28,1.29,no_window,1268,3.36,0.08,球R,0,none
2026_08_20/001,c2,v9,,7,球M,hit,correct,球M,2.71,none,,5,0.9,0.91,window,40,3.26,0.0,,0,lcs_episode
2026_08_20/001,c2,v9,,8,白杯1,miss,none,,0.0,none,,0,1.28,1.29,no_window,1268,3.36,0.08,球R,0,none
2026_08_20/001,c2,v9,,9,苹果粉,miss,wrong,球L,1.95,none,,1,1.31,1.23,window,26,3.61,0.23,苹果红/球L,0,lcs_episode
2026_08_20/001,c2,v9,,10,球R,hit,correct,球R,1.84,none,,3,1.28,1.3,window,31,3.26,0.0,,0,lcs_episode
2026_08_20/001,c2,v9,,11,球M,hit,correct,球M,4.13,none,,7,0.9,0.92,window,67,3.23,0.0,,0,lcs_episode
2026_08_20/001,c2,v9,,12,白杯2,miss,wrong,球R,4.6,none,,3,1.16,1.16,window,55,3.34,0.0,,0,lcs_episode
2026_08_20/001,c2,v9,,13,白杯2,miss,wrong,球R,4.6,none,,3,1.16,1.16,window,55,3.34,0.0,,0,lcs_episode
2026_08_20/001,c2,v9,,14,球L,hit,correct,球L,1.52,none,,4,1.03,1.01,window,44,3.24,0.0,,0,lcs_episode
2026_08_20/001,c2,v9,,15,苹果红,miss,wrong,球L,1.04,none,,1,0.13,0.12,window,15,3.39,0.08,球L,0,lcs_episode
2026_08_20/002,c4,v9,beyond_occ,1,球L,miss,none,,0.0,none,,0,0.84,0.84,no_window,1251,4.33,0.0,(unnamed/物品台),0,none
2026_08_20/002,c4,v9,beyond_occ,2,球R,miss,none,,0.0,none,,0,0.84,0.84,no_window,1251,4.63,0.0,(unnamed),0,none
2026_08_20/002,c4,v9,beyond_occ,3,球R,miss,none,,0.0,none,,0,0.84,0.84,no_window,1251,4.63,0.0,(unnamed),0,none
2026_08_20/002,c4,v9,beyond_occ,4,球M,miss,wrong,苹果粉,2.17,none,,1,0.66,0.67,window,28,4.34,0.0,,0,lcs_episode
2026_08_20/002,c4,v9,beyond_occ,5,球M,miss,wrong,苹果粉,2.17,none,,1,0.66,0.67,window,28,4.34,0.0,,0,lcs_episode
2026_08_20/002,c4,v9,beyond_occ,6,球L,miss,wrong,苹果粉,7.37,none,,5,0.84,0.85,window,82,4.28,0.0,(unnamed),0,lcs_episode
2026_08_20/002,c4,v9,beyond_occ,7,球R,miss,none,,0.0,none,,0,0.84,0.84,no_window,1251,4.63,0.0,(unnamed),0,none
2026_08_20/002,c4,v9,beyond_occ,8,球L,miss,wrong,苹果粉,3.47,none,,1,0.84,0.85,window,40,4.3,0.0,(unnamed),0,lcs_episode
2026_08_20/002,c4,v9,beyond_occ,9,球L,miss,wrong,苹果粉,3.47,none,,1,0.84,0.85,window,40,4.3,0.0,(unnamed),0,lcs_episode
2026_08_20/002,c4,v9,beyond_occ,10,球M,miss,wrong,苹果粉,1.08,none,,1,0.66,0.66,window,17,4.44,0.0,,0,lcs_episode
2026_08_20/002,c4,v9,beyond_occ,11,球L,miss,wrong,苹果粉,32.74,none,,11,0.84,0.84,window,349,4.35,0.0,(unnamed/物品台),0,lcs_episode
